"Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48"
"1,2003,NBA,1,1,CLE,LeBron James\jamesle01,18.182,F-G,us,,2004,2019,1198,38.6,27.2,7.4,7.2,1.6,0.8,.504,.548,.343,.736,226.6,.235"
"2,2005,NBA,1,4,NOH,Chris Paul\paulch01,20.058,G,us,Wake Forest University,2006,2019,950,35.1,18.5,4.5,9.7,2.2,0.1,.469,.504,.370,.868,171.5,.247"
"3,2001,NBA,1,3,ATL,Pau Gasol\gasolpa01,20.361,F-C,es,,2002,2019,1226,33.4,17.0,9.2,3.2,0.5,1.6,.507,.512,.368,.753,144.1,.169"
"4,2007,NBA,1,2,SEA,Kevin Durant\duranke01,18.276,F-G,us,University of Texas at Austin,2008,2019,849,36.9,27.0,7.1,4.1,1.1,1.1,.493,.532,.381,.883,141.7,.217"
"5,2004,NBA,1,1,ORL,Dwight Howard\howardw01,18.203,C,us,,2005,2019,1044,34.5,17.4,12.6,1.5,0.9,2.0,.583,.586,.095,.567,128.9,.172"
"6,2009,NBA,1,3,OKC,James Harden\hardeja01,19.308,G,us,Arizona State University,2010,2019,765,34.1,24.3,5.2,6.2,1.6,0.5,.443,.506,.365,.857,121.9,.224"
"7,2003,NBA,1,5,MIA,Dwyane Wade\wadedw01,21.165,G,us,Marquette University,2004,2019,1054,33.9,22.0,4.7,5.4,1.5,0.8,.480,.502,.293,.765,120.7,.162"
"8,2001,NBA,1,28,SAS,Tony Parker\parketo01,19.046,G,be,,2002,2019,1254,30.5,15.5,2.7,5.6,0.8,0.1,.491,.510,.324,.751,111.3,.140"
"9,2006,NBA,1,2,CHI,LaMarcus Aldridge\aldrila01,20.349,F-C,us,University of Texas at Austin,2007,2019,950,34.5,19.6,8.4,2.0,0.7,1.1,.491,.497,.283,.810,107.0,.157"
"10,2003,NBA,1,4,TOR,Chris Bosh\boshch01,19.098,F-C,us,Georgia Institute of Technology,2004,2016,893,35.8,19.2,8.5,2.0,0.8,1.0,.494,.506,.335,.799,106.0,.159"
"11,2009,NBA,1,7,GSW,Stephen Curry\curryst01,21.108,G,us,Davidson College,2010,2019,694,34.4,23.5,4.5,6.6,1.7,0.2,.477,.514,.436,.905,102.9,.207"
"12,2001,NBA,1,2,LAC,Tyson Chandler\chandty01,18.273,C,us,,2002,2019,1134,27.7,8.4,9.2,0.8,0.6,1.2,.596,.597,.000,.645,101.5,.155"
"13,2003,NBA,1,3,DEN,Carmelo Anthony\anthoca01,19.032,F,us,Syracuse University,2004,2019,1064,35.8,24.0,6.5,3.0,1.0,0.5,.449,.473,.347,.811,101.0,.127"
"14,2008,NBA,1,4,SEA,Russell Westbrook\westbru01,19.231,G,us,University of California Los Angeles,2009,2019,821,34.5,23.0,7.0,8.4,1.8,0.3,.434,.465,.308,.801,96.9,.164"
"15,2004,NBA,1,9,PHI,Andre Iguodala\iguodan01,20.153,G-F,us,University of Arizona,2005,2019,1108,33.4,12.1,5.1,4.4,1.5,0.5,.466,.518,.333,.710,96.4,.125"
"16,2002,NBA,1,9,PHO,Amar'e Stoudemire\stoudam01,19.227,F-C,us,,2003,2016,846,31.0,18.9,7.8,1.2,0.8,1.2,.537,.540,.236,.761,92.5,.169"
"17,2006,NBA,2,47,UTA,Paul Millsap\millspa01,21.143,F,us,Louisiana Tech University,2007,2019,945,29.3,14.1,7.4,2.3,1.3,1.0,.491,.513,.334,.734,88.2,.153"
"18,2006,NBA,1,24,MEM,Kyle Lowry\lowryky01,20.100,G,us,Villanova University,2007,2019,856,31.3,14.4,4.3,6.1,1.4,0.3,.424,.469,.367,.805,86.7,.155"
"19,2003,NBA,1,18,NOH,David West\westda01,22.306,F-C,us,Xavier University,2004,2018,1034,28.2,13.6,6.4,2.2,0.7,0.8,.495,.499,.265,.817,85.9,.141"
"20,2007,NBA,1,3,ATL,Al Horford\horfoal01,21.030,C-F,do,University of Florida,2008,2019,786,32.8,14.1,8.4,3.2,0.8,1.2,.525,.545,.368,.754,85.7,.160"
"21,2008,NBA,2,35,LAC,DeAndre Jordan\jordade01,19.345,C,us,Texas A&M University,2009,2019,819,28.2,9.6,10.9,0.9,0.6,1.6,.670,.671,.091,.466,83.4,.173"
"22,2001,NBA,1,13,HOU,Richard Jefferson\jefferi01,21.011,F,us,University of Arizona,2002,2018,1181,29.0,12.6,4.0,2.0,0.7,0.3,.464,.493,.376,.768,83.0,.116"
"23,2001,NBA,1,10,BOS,Joe Johnson\johnsjo02,20.003,G-F,us,University of Arkansas,2002,2018,1276,34.7,16.0,4.0,3.9,0.8,0.2,.441,.472,.371,.802,82.8,.090"
"24,2001,NBA,1,19,POR,Zach Randolph\randoza01,19.351,F-C,us,Michigan State University,2002,2018,1116,31.0,16.6,9.1,1.8,0.7,0.3,.471,.481,.273,.764,81.1,.112"
"25,2002,NBA,2,35,CLE,Carlos Boozer\boozeca01,20.223,F-C,de,Duke University,2003,2015,861,31.2,16.2,9.5,2.2,0.9,0.4,.521,.522,.071,.722,80.3,.143"
"26,2007,NBA,2,48,LAL,Marc Gasol\gasolma01,22.155,C,es,,2009,2019,795,33.4,15.0,7.7,3.4,0.9,1.5,.483,.498,.350,.777,79.5,.144"
"27,2008,NBA,1,5,MEM,Kevin Love\loveke01,19.297,F,us,University of California Los Angeles,2009,2019,657,32.0,18.3,11.3,2.3,0.7,0.5,.442,.477,.370,.827,78.2,.179"
"28,2005,NBA,1,3,UTA,Deron Williams\willide01,21.007,G,us,University of Illinois at Urbana-Champaign,2006,2017,845,34.2,16.3,3.1,8.1,1.0,0.2,.445,.482,.357,.822,77.3,.129"
"29,2005,NBA,1,30,NYK,David Lee\leeda02,22.066,F,us,University of Florida,2006,2017,829,29.3,13.5,8.8,2.2,0.8,0.4,.535,.537,.034,.772,76.0,.150"
"30,2001,NBA,1,6,MEM,Shane Battier\battish01,22.297,F,us,Duke University,2002,2014,977,30.7,8.6,4.2,1.8,1.0,0.9,.437,.486,.384,.743,75.7,.121"
"31,2009,NBA,1,1,LAC,Blake Griffin\griffbl01,20.106,F,us,University of Oklahoma,2011,2019,604,35.0,21.9,9.0,4.5,0.9,0.5,.502,.522,.342,.692,75.3,.171"
"32,2004,NBA,1,7,PHO,Luol Deng\denglu01,19.074,F,ss,Duke University,2005,2019,902,34.3,14.8,6.1,2.3,1.0,0.5,.456,.482,.332,.769,74.0,.115"
"33,2002,NBA,1,7,NYK,Nenê Hilário\hilarne01,19.291,F-C,br,,2003,2019,965,26.2,11.3,6.0,1.8,1.1,0.7,.548,.551,.132,.660,73.3,.139"
"34,2012,NBA,1,1,NOH,Anthony Davis\davisan02,19.114,F-C,us,University of Kentucky,2013,2019,466,34.6,23.7,10.5,2.1,1.4,2.4,.517,.533,.314,.795,72.0,.214"
"35,2007,NBA,1,4,MEM,Mike Conley\conlemi01,19.265,G,us,Ohio State University,2008,2019,788,32.6,14.9,3.0,5.7,1.5,0.2,.441,.470,.375,.819,71.4,.133"
"36,2004,NBA,1,15,BOS,Al Jefferson\jeffeal01,19.176,C-F,us,,2005,2018,915,28.7,15.7,8.4,1.5,0.7,1.2,.499,.501,.121,.711,71.0,.130"
"37,2003,NBA,2,51,NJN,Kyle Korver\korveky01,22.106,G-F,us,Creighton University,2004,2019,1174,25.7,9.9,3.0,1.7,0.7,0.3,.443,.464,.429,.878,70.9,.113"
"38,2012,NBA,1,6,POR,Damian Lillard\lillada01,21.354,G,us,Weber State University,2013,2019,549,36.3,23.5,4.2,6.3,1.0,0.3,.434,.480,.368,.889,70.3,.169"
"39,2011,NBA,1,30,CHI,Jimmy Butler\butleji01,21.287,F-G,us,Marquette University,2012,2019,523,32.9,16.7,4.9,3.5,1.6,0.5,.454,.486,.341,.835,66.1,.184"
"40,2002,NBA,1,1,HOU,Yao Ming\mingya01,21.292,C,cn,,2003,2011,486,32.5,19.0,9.2,1.6,0.4,1.9,.524,.525,.200,.833,65.9,.200"
"41,2011,NBA,1,15,IND,Kawhi Leonard\leonaka01,19.364,F,us,San Diego State University,2012,2019,467,30.8,17.7,6.3,2.4,1.8,0.7,.495,.538,.383,.848,65.8,.219"
"42,2010,NBA,1,10,IND,Paul George\georgpa01,20.058,F,us,California State University Fresno,2011,2019,604,33.8,19.8,6.4,3.3,1.8,0.4,.433,.470,.378,.844,65.2,.153"
"43,2008,NBA,1,24,SEA,Serge Ibaka\ibakase01,18.286,F-C,cg,,2010,2019,753,28.7,12.3,7.3,0.7,0.4,2.2,.514,.547,.357,.761,63.9,.142"
"44,2000,NBA,1,16,SAC,Hedo Türko?lu\turkohe01,21.107,F,tr,,2001,2015,997,26.8,11.1,4.0,2.8,0.8,0.3,.426,.450,.384,.784,63.3,.114"
"45,2002,NBA,1,23,DET,Tayshaun Prince\princta01,22.124,F,us,University of Kentucky,2003,2016,1017,31.0,11.1,4.3,2.4,0.6,0.5,.455,.470,.367,.756,63.1,.096"
