Year,Lg,Rd,Pk,Tm,Player,Pos,Born,College,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
2003,NBA,1,1,CLE,LeBron James,F-G,us,,2004,2019,1198,38.6,27.2,7.4,7.2,1.6,0.8,0.504,0.548,0.343,0.736,226.6,0.235
2005,NBA,1,4,NOH,Chris Paul,G,us,Wake Forest University,2006,2019,950,35.1,18.5,4.5,9.7,2.2,0.1,0.469,0.504,0.37,0.868,171.5,0.247
2001,NBA,1,3,ATL,Pau Gasol,F-C,es,,2002,2019,1226,33.4,17,9.2,3.2,0.5,1.6,0.507,0.512,0.368,0.753,144.1,0.169
2007,NBA,1,2,SEA,Kevin Durant,F-G,us,University of Texas at Austin,2008,2019,849,36.9,27,7.1,4.1,1.1,1.1,0.493,0.532,0.381,0.883,141.7,0.217
2004,NBA,1,1,ORL,Dwight Howard,C,us,,2005,2019,1044,34.5,17.4,12.6,1.5,0.9,2,0.583,0.586,0.095,0.567,128.9,0.172
2009,NBA,1,3,OKC,James Harden,G,us,Arizona State University,2010,2019,765,34.1,24.3,5.2,6.2,1.6,0.5,0.443,0.506,0.365,0.857,121.9,0.224
2003,NBA,1,5,MIA,Dwyane Wade,G,us,Marquette University,2004,2019,1054,33.9,22,4.7,5.4,1.5,0.8,0.48,0.502,0.293,0.765,120.7,0.162
2001,NBA,1,28,SAS,Tony Parker,G,be,,2002,2019,1254,30.5,15.5,2.7,5.6,0.8,0.1,0.491,0.51,0.324,0.751,111.3,0.14
2006,NBA,1,2,CHI,LaMarcus Aldridge,F-C,us,University of Texas at Austin,2007,2019,950,34.5,19.6,8.4,2,0.7,1.1,0.491,0.497,0.283,0.81,107,0.157
2003,NBA,1,4,TOR,Chris Bosh,F-C,us,Georgia Institute of Technology,2004,2016,893,35.8,19.2,8.5,2,0.8,1,0.494,0.506,0.335,0.799,106,0.159
2009,NBA,1,7,GSW,Stephen Curry,G,us,Davidson College,2010,2019,694,34.4,23.5,4.5,6.6,1.7,0.2,0.477,0.514,0.436,0.905,102.9,0.207
2001,NBA,1,2,LAC,Tyson Chandler,C,us,,2002,2019,1134,27.7,8.4,9.2,0.8,0.6,1.2,0.596,0.597,0,0.645,101.5,0.155
2003,NBA,1,3,DEN,Carmelo Anthony,F,us,Syracuse University,2004,2019,1064,35.8,24,6.5,3,1,0.5,0.449,0.473,0.347,0.811,101,0.127
2008,NBA,1,4,SEA,Russell Westbrook,G,us,University of California Los Angeles,2009,2019,821,34.5,23,7,8.4,1.8,0.3,0.434,0.465,0.308,0.801,96.9,0.164
