",,,,,,,,,,,,,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Shooting,Advanced,Advanced"
"Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48"
"1,2019,NBA,1,1,NOP,Zion Williamson\willizi01,,F,us,Duke University,,,,,,,,,,,,,,,"
"2,2019,NBA,1,2,MEM,Ja Morant\moranja01,,G,us,Murray State University,,,,,,,,,,,,,,,"
"3,2019,NBA,1,3,NYK,RJ Barrett\barrerj01,,G-F,ca,Duke University,,,,,,,,,,,,,,,"
"4,2019,NBA,1,4,LAL,De'Andre Hunter\huntede01,,F,us,University of Virginia,,,,,,,,,,,,,,,"
"5,2019,NBA,1,5,CLE,Darius Garland\garlada01,,G,us,Vanderbilt University,,,,,,,,,,,,,,,"
"6,2019,NBA,1,6,PHO,Jarrett Culver\culveja01,,G,us,Texas Tech University,,,,,,,,,,,,,,,"
"7,2019,NBA,1,7,CHI,Coby White\whiteco01,,G,us,University of North Carolina,,,,,,,,,,,,,,,"
"8,2019,NBA,1,8,ATL,Jaxson Hayes\hayesja02,,F,us,University of Texas at Austin,,,,,,,,,,,,,,,"
"9,2019,NBA,1,9,WAS,Rui Hachimura\hachiru01,,F,jp,Gonzaga University,,,,,,,,,,,,,,,"
"10,2019,NBA,1,10,ATL,Cam Reddish\reddica01,,F,us,Duke University,,,,,,,,,,,,,,,"
"11,2019,NBA,1,11,MIN,Cameron Johnson\johnsca02,,F,us,University of North Carolina,,,,,,,,,,,,,,,"
"12,2019,NBA,1,12,CHO,PJ Washington\washipj01,,F,us,University of Kentucky,,,,,,,,,,,,,,,"
"13,2019,NBA,1,13,MIA,Tyler Herro\herroty01,,G,us,University of Kentucky,,,,,,,,,,,,,,,"
"14,2019,NBA,1,14,BOS,Romeo Langford\langfro01,,G,us,Indiana University,,,,,,,,,,,,,,,"
"15,2019,NBA,1,15,DET,Sekou Doumbouya\doumbse01,,F,gn,,,,,,,,,,,,,,,,"
"16,2019,NBA,1,16,ORL,Chuma Okeke\okekech01,,F,us,Auburn University,,,,,,,,,,,,,,,"
"17,2019,NBA,1,17,BRK,Nickeil Alexander-Walker\alexani01,,G,ca,Virginia Polytechnic Institute and State University,,,,,,,,,,,,,,,"
"18,2019,NBA,1,18,IND,Goga Bitadze\bitadgo01,,C,ge,,,,,,,,,,,,,,,,"
"19,2019,NBA,1,19,SAS,Luka Šamani?\samanlu01,,F,hr,,,,,,,,,,,,,,,,"
"20,2019,NBA,1,20,BOS,Matisse Thybulle\thybuma01,,G,us,University of Washington,,,,,,,,,,,,,,,"
"21,2019,NBA,1,21,OKC,Brandon Clarke\clarkbr01,,F,ca,Gonzaga University,,,,,,,,,,,,,,,"
"22,2019,NBA,1,22,BOS,Grant Williams\willigr01,,F,us,University of Tennessee,,,,,,,,,,,,,,,"
"23,2019,NBA,1,23,UTA,Darius Bazley\bazleda01,,F,us,,,,,,,,,,,,,,,,"
"24,2019,NBA,1,24,PHI,Ty Jerome\jeromty01,,G,us,University of Virginia,,,,,,,,,,,,,,,"
"25,2019,NBA,1,25,POR,Nassir Little\littlna01,,F,us,University of North Carolina,,,,,,,,,,,,,,,"
"26,2019,NBA,1,26,CLE,Dylan Windler\windldy01,,G-F,us,Belmont University,,,,,,,,,,,,,,,"
"27,2019,NBA,1,27,BRK,Mfiondu Kabengele\kabenmf01,,F,ca,Florida State University,,,,,,,,,,,,,,,"
"28,2019,NBA,1,28,GSW,Jordan Poole\poolejo01,,G,us,University of Michigan,,,,,,,,,,,,,,,"
"29,2019,NBA,1,29,SAS,Keldon Johnson\johnske04,,G,us,University of Kentucky,,,,,,,,,,,,,,,"
"30,2019,NBA,1,30,MIL,Kevin Porter\porteke02,,G,us,University of Southern California,,,,,,,,,,,,,,,"
"31,2019,NBA,2,31,BRK,Nicolas Claxton\claxtni01,,F,us,University of Georgia,,,,,,,,,,,,,,,"
"32,2019,NBA,2,32,PHO,KZ Okpala\okpalkz01,,F,us,Stanford University,,,,,,,,,,,,,,,"
"33,2019,NBA,2,33,PHI,Carsen Edwards\edwarca01,,G,us,Purdue University,,,,,,,,,,,,,,,"
"34,2019,NBA,2,34,PHI,Bruno Fernando\fernabr01,,F,ao,University of Maryland,,,,,,,,,,,,,,,"
"35,2019,NBA,2,35,ATL,Marcos Louzada Silva\louzama01,,G,br,,,,,,,,,,,,,,,,"
"36,2019,NBA,2,36,CHO,Cody Martin\martico01,,G-F,us,University of Nevada Reno,,,,,,,,,,,,,,,"
"37,2019,NBA,2,37,DAL,Deividas Sirvydis\sirvyde01,,G-F,lt,,,,,,,,,,,,,,,,"
"38,2019,NBA,2,38,CHI,Daniel Gafford\gaffoda01,,F,us,University of Arkansas,,,,,,,,,,,,,,,"
"39,2019,NBA,2,39,NOP,Alen Smailagi?\smailal01,,F,rs,,,,,,,,,,,,,,,,"
"40,2019,NBA,2,40,SAC,Justin James\jamesju01,,G,us,University of Wyoming,,,,,,,,,,,,,,,"
"41,2019,NBA,2,41,GSW,Eric Paschall\pascher01,,F,us,Villanova University,,,,,,,,,,,,,,,"
"42,2019,NBA,2,42,PHI,Admiral Schofield\schofad01,,G-F,gb,University of Tennessee,,,,,,,,,,,,,,,"
"43,2019,NBA,2,43,MIN,Jaylen Nowell\nowelja01,,G,us,University of Washington,,,,,,,,,,,,,,,"
"44,2019,NBA,2,44,MIA,Bol Bol\bolbo01,,C,sd,University of Oregon,,,,,,,,,,,,,,,"
"45,2019,NBA,2,45,DET,Isaiah Roby\robyis01,,F,us,University of Nebraska,,,,,,,,,,,,,,,"
"46,2019,NBA,2,46,ORL,Talen Horton-Tucker\hortota01,,G-F,us,Iowa State University,,,,,,,,,,,,,,,"
"47,2019,NBA,2,47,SAC,Ignas Brazdeikis\brazdig01,,F,lt,University of Michigan,,,,,,,,,,,,,,,"
"48,2019,NBA,2,48,LAC,Terance Mann\mannte01,,G-F,us,Florida State University,,,,,,,,,,,,,,,"
"49,2019,NBA,2,49,SAS,Quinndary Weatherspoon\weathqu01,,G,us,Mississippi State University,,,,,,,,,,,,,,,"
"50,2019,NBA,2,50,IND,Jarrell Brantley\brantja01,,F,us,College of Charleston,,,,,,,,,,,,,,,"
"51,2019,NBA,2,51,BOS,Tremont Waters\watertr01,,G,us,Louisiana State University,,,,,,,,,,,,,,,"
"52,2019,NBA,2,52,CHO,Jalen McDaniels\mcdanja01,,F,us,San Diego State University,,,,,,,,,,,,,,,"
"53,2019,NBA,2,53,UTA,Justin Wright-Foreman\wrighju02,,G,us,Hofstra University,,,,,,,,,,,,,,,"
"54,2019,NBA,2,54,PHI,Marial Shayok\shayoma01,,G,ca,Iowa State University,,,,,,,,,,,,,,,"
"55,2019,NBA,2,55,NYK,Kyle Guy\guyky01,,G,us,University of Virginia,,,,,,,,,,,,,,,"
"56,2019,NBA,2,56,LAC,Jaylen Hands\handsja01,,G,us,University of California Los Angeles,,,,,,,,,,,,,,,"
"57,2019,NBA,2,57,NOP,Jordan Bone\bonejo01,,G,us,University of Tennessee,,,,,,,,,,,,,,,"
"58,2019,NBA,2,58,GSW,Miye Oni\onimi01,,G,us,Yale University,,,,,,,,,,,,,,,"
"59,2019,NBA,2,59,TOR,Dewan Hernandez\hernade01,,F,us,University of Miami,,,,,,,,,,,,,,,"
"60,2019,NBA,2,60,SAC,Vanja Marinkovi?\marinva01,,G,rs,,,,,,,,,,,,,,,,"
"61,2018,NBA,1,1,PHO,Deandre Ayton\aytonde01,19.338,C,bs,University of Arizona,2019,2019,71,30.7,16.3,10.3,1.8,0.9,0.9,.585,.588,.000,.746,5.8,.128"
"62,2018,NBA,1,2,SAC,Marvin Bagley\baglema01,19.104,F,us,Duke University,2019,2019,62,25.3,14.9,7.6,1.0,0.5,1.0,.504,.534,.313,.691,3.6,.110"
"63,2018,NBA,1,3,ATL,Luka Don?i?\doncilu01,19.118,G-F,si,,2019,2019,72,32.2,21.2,7.8,6.0,1.1,0.3,.427,.503,.327,.713,4.9,.101"
"64,2018,NBA,1,4,MEM,Jaren Jackson\jacksja02,18.284,F,us,Michigan State University,2019,2019,58,26.1,13.8,4.7,1.1,0.9,1.4,.506,.553,.359,.766,3.3,.105"
"65,2018,NBA,1,5,DAL,Trae Young\youngtr01,19.280,G,us,University of Oklahoma,2019,2019,81,30.9,19.1,3.7,8.1,0.9,0.2,.418,.477,.324,.829,3.3,.062"
"66,2018,NBA,1,6,ORL,Mohamed Bamba\bambamo01,20.045,C,us,University of Texas at Austin,2019,2019,47,16.3,6.2,5.0,0.8,0.3,1.4,.481,.555,.300,.587,1.7,.106"
"67,2018,NBA,1,7,CHI,Wendell Carter\cartewe01,19.071,C,us,Duke University,2019,2019,44,25.2,10.3,7.0,1.8,0.6,1.3,.485,.513,.188,.795,1.9,.080"
"68,2018,NBA,1,8,CLE,Collin Sexton\sextoco01,19.173,G,us,University of Alabama,2019,2019,82,31.8,16.7,2.9,3.0,0.5,0.1,.430,.440,.402,.839,-0.6,-0.011"
"69,2018,NBA,1,9,NYK,Kevin Knox\knoxke01,18.319,F,us,University of Kentucky,2019,2019,75,28.8,12.8,4.5,1.1,0.6,0.3,.370,.387,.343,.717,-1.3,-0.030"
"70,2018,NBA,1,10,PHI,Mikal Bridges\bridgmi01,21.300,G,us,Villanova University,2019,2019,82,29.5,8.3,3.2,2.1,1.6,0.5,.430,.548,.335,.805,2.9,.058"
"71,2018,NBA,1,11,CHO,Shai Gilgeous-Alexander\gilgesh01,19.349,G,ca,University of Kentucky,2019,2019,82,26.5,10.8,2.8,3.3,1.2,0.5,.476,.503,.367,.800,3.3,.074"
"72,2018,NBA,1,12,LAC,Miles Bridges\bridgmi02,20.097,G-F,us,Michigan State University,2019,2019,80,21.2,7.5,4.0,1.2,0.7,0.6,.464,.553,.325,.753,2.9,.083"
"73,2018,NBA,1,13,LAC,Jerome Robinson\robinje01,21.124,G,us,Boston College,2019,2019,33,9.7,3.4,1.2,0.6,0.3,0.1,.400,.491,.316,.667,0.1,.012"
"74,2018,NBA,1,14,DEN,Michael Porter\portemi01,19.362,F,us,University of Missouri,,,,,,,,,,,,,,,"
"75,2018,NBA,1,15,WAS,Troy Brown\browntr01,18.333,G-F,us,University of Oregon,2019,2019,52,14.0,4.8,2.8,1.5,0.4,0.1,.415,.455,.319,.681,0.6,.039"
"76,2018,NBA,1,16,PHO,Zhaire Smith\smithzh01,19.022,G,us,Texas Tech University,2019,2019,6,18.5,6.7,2.2,1.7,0.3,0.3,.412,.444,.375,.750,0.1,.048"
"77,2018,NBA,1,17,MIL,Donte DiVincenzo\divindo01,21.146,G,us,Villanova University,2019,2019,27,15.2,4.9,2.4,1.1,0.5,0.2,.403,.683,.265,.750,0.6,.069"
"78,2018,NBA,1,18,SAS,Lonnie Walker\walkelo01,19.194,G,us,University of Miami,2019,2019,17,6.9,2.6,1.0,0.5,0.4,0.2,.348,.333,.385,.800,0.0,.019"
"79,2018,NBA,1,19,ATL,Kevin Huerter\huertke01,19.303,G,us,University of Maryland,2019,2019,75,27.3,9.7,3.3,2.9,0.9,0.3,.419,.457,.385,.732,1.5,.034"
"80,2018,NBA,1,20,MIN,Josh Okogie\okogijo01,19.298,G,ng,Georgia Institute of Technology,2019,2019,74,23.7,7.7,2.9,1.2,1.2,0.4,.386,.464,.279,.728,1.2,.034"
