,Lat,Long,School
0,30.2849185,-97.7340567,Texas
1,35.1876457,-111.654093,Northern Arizona
2,32.5933574,-85.4951663,Auburn
3,36.1270236,-97.07372219999999,Oklahoma State
4,36.1447034,-86.8026551,Vanderbilt
5,39.1329219,-84.51495039999999,Cincinnati
6,38.0306511,-84.5039697,Kentucky
7,37.4274745,-122.169719,Stanford
8,42.701848,-84.4821719,Michigan State
9,43.0391534,-76.1351158,Syracuse
10,30.4132579,-91.1800023,Louisiana State
11,41.8077414,-72.2539805,Connecticut
12,41.9247559,-87.6566465,DePaul
13,40.0068363,-83.0306222,Ohio State
14,44.97399,-93.2277285,Minnesota
15,40.7220627,-73.79421119999999,St. John's (NY)
16,32.5933574,-85.4951663,Auburn
17,30.4132579,-91.1800023,Louisiana State
18,40.716792,-73.5994041,Hofstra
19,40.4237054,-86.92119459999999,Purdue
20,42.701848,-84.4821719,Michigan State
21,33.7756178,-84.39628499999999,Georgia Tech
22,40.7220627,-73.79421119999999,St. John's (NY)
23,36.8124451,-119.7457805,Fresno State
24,43.0391534,-76.1351158,Syracuse
25,33.4242399,-111.9280527,Arizona State
26,41.8077414,-72.2539805,Connecticut
27,38.9403808,-92.32773750000001,Missouri
28,39.1754487,-86.512627,Indiana
29,46.7288124,-117.0126084,Idaho
30,42.0266187,-93.6464654,Iowa State
31,38.0306511,-84.5039697,Kentucky
32,41.8077414,-72.2539805,Connecticut
33,38.0306511,-84.5039697,Kentucky
34,38.4235332,-82.4263138,Marshall
35,39.1329219,-84.51495039999999,Cincinnati
36,38.0306511,-84.5039697,Kentucky
37,38.0306511,-84.5039697,Kentucky
38,30.2849185,-97.7340567,Texas
39,38.9543439,-95.2557961,Kansas
40,35.0843187,-106.6197812,New Mexico
41,35.2058936,-97.4457137,Oklahoma
42,33.7756178,-84.39628499999999,Georgia Tech
43,42.701848,-84.4821719,Michigan State
44,35.9049122,-79.0469134,North Carolina
45,32.2318851,-110.9501094,Arizona
46,41.9247559,-87.6566465,DePaul
47,36.53498,-87.3548855,Austin Peay
48,40.7433773,-74.2465446,Seton Hall
49,39.1754487,-86.512627,Indiana
50,38.9869183,-76.9425543,Maryland
51,41.7055716,-86.2353388,Notre Dame
52,36.8124451,-119.7457805,Fresno State
53,36.0686895,-94.1748471,Arkansas
54,40.0068363,-83.0306222,Ohio State
55,37.3641651,-120.4254615,University of California
56,38.9076089,-77.07225849999999,Georgetown
57,32.5933574,-85.4951663,Auburn
58,43.0391534,-76.1351158,Syracuse
59,32.2318851,-110.9501094,Arizona
60,36.0014258,-78.9382286,Duke
61,29.7199489,-95.3422334,Houston
62,35.9049122,-79.0469134,North Carolina
63,38.9543439,-95.2557961,Kansas
64,37.4274745,-122.169719,Stanford
65,37.4274745,-122.169719,Stanford
66,40.7220627,-73.79421119999999,St. John's (NY)
67,40.7433773,-74.2465446,Seton Hall
68,33.2140233,-87.5391418,Alabama
69,34.0223519,-118.285117,Southern California
70,42.0266187,-93.6464654,Iowa State
71,32.2318851,-110.9501094,Arizona
72,35.3070929,-80.735164,Charlotte
73,39.1329219,-84.51495039999999,Cincinnati
74,32.8412178,-96.78451749999999,Southern Methodist
75,34.6738437,-82.8368654,Clemson
76,41.9247559,-87.6566465,DePaul
77,34.0223519,-118.285117,Southern California
