,School
0,Texas
1,Northern Arizona
2,Auburn
3,Oklahoma State
4,Vanderbilt
5,Cincinnati
6,Kentucky
7,Stanford
8,Michigan State
9,Syracuse
10,Louisiana State
11,Connecticut
12,DePaul
13,Ohio State
14,Minnesota
15,St. John's (NY)
16,Auburn
17,Louisiana State
18,Hofstra
19,Purdue
20,Michigan State
21,Georgia Tech
22,St. John's (NY)
23,Fresno State
24,Syracuse
25,Arizona State
26,Connecticut
27,Missouri
28,Indiana
29,Idaho
30,Iowa State
31,Kentucky
32,Connecticut
33,Kentucky
34,Marshall
35,Cincinnati
36,Kentucky
37,Kentucky
38,Texas
39,Kansas
40,New Mexico
41,Oklahoma
42,Georgia Tech
43,Michigan State
44,North Carolina
45,Arizona
46,DePaul
47,Austin Peay
48,Seton Hall
49,Indiana
50,Maryland
51,Notre Dame
52,Fresno State
53,Arkansas
54,Ohio State
55,University of California
56,Georgetown
57,Auburn
58,Syracuse
59,Arizona
60,Duke
61,Houston
62,North Carolina
63,Kansas
64,Stanford
65,Stanford
66,St. John's (NY)
67,Seton Hall
68,Alabama
69,Southern California
70,Iowa State
71,Arizona
72,Charlotte
73,Cincinnati
74,Southern Methodist
75,Clemson
76,DePaul
77,Southern California
78,UCLA
79,Kansas
80,Maryland
81,Central Connecticut State
82,Duke
83,Fresno State
84,Notre Dame
85,San Diego State
86,Arkansas State
87,Indiana
88,Fresno State
89,Stanford
90,Alabama
91,Tennessee
92,Gonzaga
93,Stanford
94,Duke
95,Illinois
96,UCLA
97,Maryland
98,La Salle
99,Connecticut
100,Southern California
101,Marshall
102,Wake Forest
103,Miami (FL)
104,Missouri
105,University of California
106,Maryland
107,Duke
108,Tennessee
109,Michigan State
110,Memphis
111,Cincinnati
112,Virginia
113,Oregon
114,Kentucky
115,Brigham Young
116,Louisville
117,Texas
118,UCLA
119,Central Michigan
120,Duke
121,Georgia
122,Wake Forest
123,Ohio
124,Kansas
125,Maryland
126,Kentucky
127,Georgia Tech
128,Florida
129,Mississippi State
130,Syracuse
131,Boston College
132,Nevada-Las Vegas
133,Illinois
134,Kansas
135,Arizona State
136,Georgetown
