,Lat,Long,School
0,30.2849185,-97.7340567,Texas University
1,35.1876457,-111.654093,Northern Arizona University
2,32.5933574,-85.4951663,Auburn University
3,36.1270236,-97.07372219999999,Oklahoma State University
4,36.1447034,-86.8026551,Vanderbilt University
5,39.1329219,-84.51495039999999,Cincinnati University
6,38.0306511,-84.5039697,Kentucky University
7,37.4274745,-122.169719,Stanford University
8,42.701848,-84.4821719,Michigan State University
9,43.0391534,-76.1351158,Syracuse University
10,30.4132579,-91.1800023,Louisiana State University
11,41.8077414,-72.2539805,Connecticut University
12,41.9247559,-87.6566465,DePaul University
13,40.0068363,-83.0306222,Ohio State University
14,44.97399,-93.2277285,Minnesota University
15,40.7220627,-73.79421119999999,St. John's (NY) University
16,32.5933574,-85.4951663,Auburn University
17,30.4132579,-91.1800023,Louisiana State University
18,40.716792,-73.5994041,Hofstra University
19,40.4237054,-86.92119459999999,Purdue University
20,42.701848,-84.4821719,Michigan State University
21,33.7756178,-84.39628499999999,Georgia Tech University
22,40.7220627,-73.79421119999999,St. John's (NY) University
23,36.8124451,-119.7457805,Fresno State University
24,43.0391534,-76.1351158,Syracuse University
25,33.4242399,-111.9280527,Arizona State University
26,41.8077414,-72.2539805,Connecticut University
27,38.9403808,-92.32773750000001,Missouri University
28,39.1754487,-86.512627,Indiana University
29,46.7288124,-117.0126084,Idaho University
30,42.0266187,-93.6464654,Iowa State University
31,38.0306511,-84.5039697,Kentucky University
32,41.8077414,-72.2539805,Connecticut University
33,38.0306511,-84.5039697,Kentucky University
34,38.4235332,-82.4263138,Marshall University
35,39.1329219,-84.51495039999999,Cincinnati University
36,38.0306511,-84.5039697,Kentucky University
37,38.0306511,-84.5039697,Kentucky University
38,30.2849185,-97.7340567,Texas University
39,38.9543439,-95.2557961,Kansas University
40,35.0843187,-106.6197812,New Mexico University
41,35.2058936,-97.4457137,Oklahoma University
42,33.7756178,-84.39628499999999,Georgia Tech University
43,42.701848,-84.4821719,Michigan State University
44,35.9049122,-79.0469134,North Carolina University
45,32.2318851,-110.9501094,Arizona University
46,41.9247559,-87.6566465,DePaul University
47,36.53498,-87.3548855,Austin Peay University
48,40.7433773,-74.2465446,Seton Hall University
49,39.1754487,-86.512627,Indiana University
50,38.9869183,-76.9425543,Maryland University
51,41.7055716,-86.2353388,Notre Dame University
52,36.8124451,-119.7457805,Fresno State University
53,36.0686895,-94.1748471,Arkansas University
54,40.0068363,-83.0306222,Ohio State University
55,37.3641651,-120.4254615,University of California University
56,38.9076089,-77.07225849999999,Georgetown University
57,32.5933574,-85.4951663,Auburn University
58,43.0391534,-76.1351158,Syracuse University
59,32.2318851,-110.9501094,Arizona University
60,36.0014258,-78.9382286,Duke University
61,29.7199489,-95.3422334,Houston University
62,35.9049122,-79.0469134,North Carolina University
63,38.9543439,-95.2557961,Kansas University
64,37.4274745,-122.169719,Stanford University
65,37.4274745,-122.169719,Stanford University
66,40.7220627,-73.79421119999999,St. John's (NY) University
67,40.7433773,-74.2465446,Seton Hall University
68,33.2140233,-87.5391418,Alabama University
69,34.0223519,-118.285117,Southern California University
70,42.0266187,-93.6464654,Iowa State University
71,32.2318851,-110.9501094,Arizona University
72,35.3070929,-80.735164,Charlotte University
73,39.1329219,-84.51495039999999,Cincinnati University
74,32.8412178,-96.78451749999999,Southern Methodist University
75,34.6738437,-82.8368654,Clemson University
76,41.9247559,-87.6566465,DePaul University
77,34.0223519,-118.285117,Southern California University
78,34.068921,-118.4451811,UCLA University
79,38.9543439,-95.2557961,Kansas University
80,38.9869183,-76.9425543,Maryland University
81,41.693255,-72.764167,Central Connecticut State University
82,36.0014258,-78.9382286,Duke University
83,36.8124451,-119.7457805,Fresno State University
84,41.7055716,-86.2353388,Notre Dame University
85,32.77572170000001,-117.0718893,San Diego State University
86,35.8430861,-90.67485889999999,Arkansas State University
87,39.1754487,-86.512627,Indiana University
88,36.8124451,-119.7457805,Fresno State University
89,37.4274745,-122.169719,Stanford University
90,33.2140233,-87.5391418,Alabama University
91,35.9544013,-83.92945639999999,Tennessee University
92,47.66644729999999,-117.4015208,Gonzaga University
93,37.4274745,-122.169719,Stanford University
94,36.0014258,-78.9382286,Duke University
95,40.1019523,-88.2271615,Illinois University
96,34.068921,-118.4451811,UCLA University
97,38.9869183,-76.9425543,Maryland University
98,40.0387561,-75.15663219999999,La Salle University
99,41.8077414,-72.2539805,Connecticut University
100,34.0223519,-118.285117,Southern California University
101,38.4235332,-82.4263138,Marshall University
102,36.1340985,-80.2778951,Wake Forest University
103,25.7191685,-80.2771253,Miami (FL) University
104,38.9403808,-92.32773750000001,Missouri University
105,37.3641651,-120.4254615,University of California University
106,38.9869183,-76.9425543,Maryland University
107,36.0014258,-78.9382286,Duke University
108,35.9544013,-83.92945639999999,Tennessee University
109,42.701848,-84.4821719,Michigan State University
110,35.118741,-89.937141,Memphis University
111,39.1329219,-84.51495039999999,Cincinnati University
112,38.0335529,-78.5079772,Virginia University
113,44.0448302,-123.0726055,Oregon University
114,38.0306511,-84.5039697,Kentucky University
115,40.2518435,-111.6493156,Brigham Young University
116,38.2122761,-85.75850229999999,Louisville University
117,30.2849185,-97.7340567,Texas University
118,34.068921,-118.4451811,UCLA University
119,43.5819086,-84.7756364,Central Michigan University
120,36.0014258,-78.9382286,Duke University
121,33.9480053,-83.3773221,Georgia University
122,36.1340985,-80.2778951,Wake Forest University
123,39.324358,-82.10138889999999,Ohio University
124,38.9543439,-95.2557961,Kansas University
125,38.9869183,-76.9425543,Maryland University
126,38.0306511,-84.5039697,Kentucky University
127,33.7756178,-84.39628499999999,Georgia Tech University
128,29.6436325,-82.3549302,Florida University
