Year,Award,Player
2018-19,Wooden Award,Zion Williamson(Duke)
2018-19,Naismith Award,Zion Williamson(Duke)
2018-19,AP Player of the Year,Zion Williamson(Duke)
2018-19,USBWA Player of the Year,Zion Williamson(Duke)
2018-19,USBWA Freshman of the Year,Zion Williamson(Duke)
2018-19,NABC Player of the Year,Zion Williamson(Duke)
2018-19,NABC Defensive Player of the Year,De'Andre Hunter(Virginia)
2018-19,Sporting News Player of the Year,Zion Williamson(Duke)
2018-19,NCAA Tournament Most Outstanding Player,Kyle Guy(Virginia)
2018-19,NIT Most Valuable Player,Dylan Osetkowski(Texas)
2018-19,NIT Most Valuable Player,Kerwin Roach Jr.(Texas)
2017-18,Wooden Award,Jalen Brunson(Villanova)
2017-18,Naismith Award,Jalen Brunson(Villanova)
2017-18,AP Player of the Year,Jalen Brunson(Villanova)
2017-18,USBWA Player of the Year,Jalen Brunson(Villanova)
2017-18,USBWA Freshman of the Year,Trae Young(Oklahoma)
2017-18,NABC Player of the Year,Jalen Brunson(Villanova)
2017-18,NABC Defensive Player of the Year,Jevon Carter(West Virginia)
2017-18,Sporting News Player of the Year,Jalen Brunson(Villanova)
2017-18,NCAA Tournament Most Outstanding Player,Donte DiVincenzo(Villanova)
2017-18,NIT Most Valuable Player,Lamar Stevens(Penn State)
2016-17,ooden Award,Frank Mason(Kansas)
2016-17,Naismith Award,Frank Mason(Kansas)
2016-17,AP Player of the Year,Frank Mason(Kansas)
2016-17,USBWA Player of the Year,Frank Mason(Kansas)
2016-17,USBWA Freshman of the Year,Lonzo Ball(UCLA)
2016-17,NABC Player of the Year,Frank Mason(Kansas)
2016-17,NABC Defensive Player of the Year,Jevon Carter(West Virginia)
2016-17,Sporting News Player of the Year,Frank Mason(Kansas)
2016-17,NCAA Tournament Most Outstanding Player,Joel Berry(North Carolina)
2016-17,NIT Most Valuable Player,Kenrich Williams(Texas Christian)
2015-16,Wooden Award,Buddy Hield(Oklahoma)
2015-16,Naismith Award,Buddy Hield(Oklahoma)
2015-16,AP Player of the Year,Denzel Valentine(Michigan State)
2015-16,USBWA Player of the Year,Buddy Hield(Oklahoma)
2015-16,USBWA Freshman of the Year,Ben Simmons(Louisiana State)
