Player,Tm,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER
Michael Jordan,CHI,38.474999999999994,11.512500000000001,23.424999999999997,0.492,0.8625,2.3125,0.356125,10.662500000000001,21.1,0.5055,0.510375,6.5375,7.9,0.8275,1.525,4.862500000000001,6.3999999999999995,5.1,2.25,0.7125,2.4375,2.4375,30.424999999999997,41.885
Dominique Wilkins,LAC,37.9,10.7,23.7,0.45299999999999996,1.0,3.9,0.247,9.8,19.8,0.493,0.473,6.7,8.0,0.835,2.5,4.5,7.0,2.2,1.2,0.3,2.1,1.6,29.1,38.17
James Harden,HOU,37.114285714285714,8.542857142857143,19.271428571428572,0.44342857142857145,3.1285714285714286,8.6,0.36428571428571427,5.428571428571429,10.685714285714285,0.5078571428571429,0.5232857142857142,8.814285714285715,10.242857142857142,0.8612857142857143,0.8428571428571427,5.085714285714286,5.928571428571429,7.699999999999998,1.7571428571428573,0.5857142857142857,4.442857142857143,2.6,29.04285714285714,40.65571428571429
Tracy McGrady,ORL,39.425000000000004,10.100000000000001,22.725,0.4455,1.775,4.9,0.361,8.35,17.8,0.4685,0.48375,6.175000000000001,8.024999999999999,0.7675,1.875,5.1,6.975,5.225,1.5499999999999998,0.975,2.5999999999999996,1.975,28.125,38.355000000000004
Kevin Durant,OKC,37.825,9.425,19.1875,0.49224999999999997,1.9875,5.0875,0.390125,7.45,14.1125,0.531625,0.54375,7.2625,8.249999999999998,0.8791249999999999,0.7625,6.6125,7.375,3.875,1.2125,1.0,3.2624999999999997,1.9000000000000001,28.1,37.057500000000005
LeBron James,LAL,35.2,10.1,19.9,0.51,2.0,5.9,0.33899999999999997,8.1,14.0,0.5820000000000001,0.56,5.1,7.6,0.665,1.0,7.4,8.5,8.3,1.3,0.6,3.6,1.7,27.4,42.73
LeBron James,CLE,38.98181818181819,9.845454545454546,20.036363636363635,0.4926363636363636,1.4727272727272727,4.381818181818182,0.33454545454545453,8.381818181818181,15.636363636363638,0.537909090909091,0.5297272727272728,6.027272727272727,8.263636363636364,0.7313636363636365,1.218181818181818,6.081818181818179,7.272727272727272,7.336363636363637,1.6090909090909091,0.809090909090909,3.5090909090909093,1.918181818181818,27.218181818181822,38.02
Allen Iverson,PHI,41.041666666666664,9.416666666666666,22.508333333333336,0.4191666666666667,1.1500000000000001,3.783333333333333,0.30291666666666667,8.275,18.724999999999998,0.44249999999999995,0.44458333333333333,7.175000000000001,9.125,0.7831666666666667,0.8583333333333333,2.9499999999999997,3.8000000000000007,6.008333333333332,2.191666666666666,0.16666666666666666,3.683333333333333,1.9999999999999993,27.16666666666666,33.0175
Shaquille O'Neal,ORL,37.675,10.9,18.75,0.57925,0.0,0.025,0.125,10.875,18.725,0.5802499999999999,0.5795,5.375,9.925,0.5415,4.125,8.275,12.375,2.475,0.775,2.725,3.0,3.6,27.15,39.0125
DeMarcus Cousins,TOT,34.2,9.0,19.9,0.452,1.8,5.0,0.361,7.2,14.8,0.483,0.498,7.2,9.3,0.772,2.1,8.9,11.0,4.6,1.4,1.3,3.7,3.9,27.0,41.62
Dominique Wilkins,ATL,36.78,9.780000000000001,21.099999999999998,0.4636,1.1,3.38,0.32799999999999996,8.66,17.740000000000002,0.488,0.48979999999999996,6.3,7.6,0.8306000000000001,2.68,4.4399999999999995,7.1,3.0200000000000005,1.3199999999999998,0.5599999999999999,2.52,1.78,27.0,37.534000000000006
LeBron James,MIA,37.974999999999994,9.925,18.275,0.54325,1.25,3.3,0.36925,8.675,14.975,0.583,0.577,5.9,7.775,0.75825,1.225,6.4,7.574999999999999,6.7,1.7000000000000002,0.6499999999999999,3.375,1.65,26.924999999999997,38.582499999999996
Shaquille O'Neal,LAL,37.425,10.6,18.425,0.575,0.0,0.0125,0.0,10.6,18.412499999999998,0.57575,0.575,5.7125,10.7625,0.531875,3.7999999999999994,7.987500000000001,11.774999999999999,3.0375,0.6375,2.4625,2.8,3.3,26.924999999999997,39.00125
Kawhi Leonard,TOR,34.0,9.3,18.8,0.496,1.9,5.0,0.371,7.5,13.8,0.542,0.546,6.1,7.1,0.8540000000000001,1.3,6.0,7.3,3.3,1.8,0.4,2.0,1.5,26.6,41.33
Dominique Wilkins,TOT,35.6,9.4,21.5,0.44,1.1,4.0,0.28800000000000003,8.3,17.5,0.474,0.466,6.0,7.1,0.847,2.5,4.0,6.5,2.3,1.2,0.4,2.3,1.7,26.0,36.41
Karl Malone,UTA,37.699999999999996,9.35,18.121428571428574,0.515357142857143,0.05,0.25000000000000006,0.2506428571428571,9.285714285714286,17.86428571428571,0.5186428571428571,0.5173571428571428,7.092857142857143,9.307142857142855,0.7616428571428572,2.2714285714285714,7.807142857142858,10.071428571428571,3.878571428571429,1.4142857142857141,0.8071428571428572,2.978571428571428,2.942857142857143,25.89285714285714,36.12357142857143
Kevin Durant,GSW,34.06666666666666,9.133333333333335,17.400000000000002,0.5246666666666666,2.066666666666667,5.366666666666667,0.38233333333333336,7.066666666666666,12.066666666666668,0.5866666666666668,0.5836666666666667,5.466666666666666,6.2,0.883,0.5,6.633333333333333,7.166666666666667,5.366666666666667,0.8333333333333334,1.5,2.6999999999999997,1.9666666666666668,25.833333333333332,40.123333333333335
Carmelo Anthony,TOT,35.7,8.9,19.5,0.455,1.2,3.3,0.37799999999999995,7.6,16.3,0.47,0.48700000000000004,6.6,7.9,0.838,1.5,5.8,7.3,2.9,0.9,0.6,2.7,2.9,25.6,34.88
Bernard King,WSB,35.15,9.899999999999999,20.700000000000003,0.47950000000000004,0.05,0.44999999999999996,0.17300000000000001,9.8,20.25,0.4855,0.4815,5.5,6.949999999999999,0.7965,1.7000000000000002,3.3,4.95,4.6,0.75,0.2,3.5,2.8499999999999996,25.4,33.614999999999995
Charles Barkley,PHI,38.26666666666667,9.033333333333333,15.766666666666666,0.574,0.4666666666666666,1.7666666666666666,0.245,8.633333333333333,14.0,0.6143333333333333,0.5880000000000001,6.766666666666666,9.3,0.722,4.033333333333333,6.8999999999999995,10.9,4.066666666666666,1.7666666666666666,0.5666666666666668,3.1,2.8000000000000003,25.3,36.89666666666667
