,Player,Player Index
0,Mark West,Mark West _1960
1,Fred Roberts,Fred Roberts _1960
2,Jim Thomas,Jim Thomas _1960
3,Scooter McCray,Scooter McCray _1960
4,Eddie Hughes,Eddie Hughes _1960
5,Bill Garnett,Bill Garnett _1960
6,Oliver Robinson,Oliver Robinson _1960
7,Ozell Jones,Ozell Jones _1960
8,Cliff Robinson,Cliff Robinson _1960
9,Darren Daye,Darren Daye _1960
10,David Thirdkill,David Thirdkill _1960
11,Dominique Wilkins,Dominique Wilkins _1960
12,Keith Edmonson,Keith Edmonson _1960
13,Jeff Taylor,Jeff Taylor _1960
14,Carl Henry,Carl Henry _1960
15,Darren Tillis,Darren Tillis _1960
16,Jim Grandholm,Jim Grandholm _1960
17,Fat Lever,Fat Lever _1960
18,Georgi Glouchkov,Georgi Glouchkov _1960
19,Leo Rautins,Leo Rautins _1960
20,Sidney Lowe,Sidney Lowe _1960
21,John Schweitz,John Schweitz _1960
22,Dale Wilkinson,Dale Wilkinson _1960
23,Devin Durrant,Devin Durrant _1960
24,Tony Brown,Tony Brown _1960
25,John Bagley,John Bagley _1960
26,Guy Morgan,Guy Morgan _1960
27,John Paxson,John Paxson _1960
28,Walker Russell,Walker Russell _1960
29,Russ Schoene,Russ Schoene _1960
30,Melvin Turpin,Melvin Turpin _1960
31,J.J. Anderson,J.J. Anderson _1960
32,Sleepy Floyd,Sleepy Floyd _1960
33,Brant Weidner,Brant Weidner _1960
34,Guy Williams,Guy Williams _1960
35,Jose Slaughter,Jose Slaughter _1960
36,Jim Johnstone,Jim Johnstone _1960
37,Steve Stipanovich,Steve Stipanovich _1960
38,Dwight Anderson,Dwight Anderson _1960
39,Corny Thompson,Corny Thompson _1960
40,Jim Lampley,Jim Lampley _1960
41,Larry Micheaux,Larry Micheaux _1960
42,Rod Higgins,Rod Higgins _1960
43,Ken Bannister,Ken Bannister _1960
44,Randy Breuer,Randy Breuer _1960
45,Dale Ellis,Dale Ellis _1960
46,Vince Taylor,Vince Taylor _1960
47,Joe Kopicki,Joe Kopicki _1960
48,Buck Williams,Buck Williams _1960
49,Craig Hodges,Craig Hodges _1960
50,Darrell Lockhart,Darrell Lockhart _1960
51,Terry Teagle,Terry Teagle _1960
52,Wayne Sappleton,Wayne Sappleton _1960
53,Audie Norris,Audie Norris _1960
54,Ralph Sampson,Ralph Sampson _1960
55,Tom Piotrowski,Tom Piotrowski _1960
56,Rod Foster,Rod Foster _1960
57,Carlos Clark,Carlos Clark _1960
58,Richard Anderson,Richard Anderson _1960
59,Scott Hastings,Scott Hastings _1960
60,Mike Sanders,Mike Sanders _1960
61,Pace Mannion,Pace Mannion _1960
62,Ed Nealy,Ed Nealy _1960
63,Mike Gibson,Mike Gibson _1960
64,Ken Austin,Ken Austin _1961
65,Michael Phelps,Michael Phelps _1961
66,Chris McNealy,Chris McNealy _1961
67,Peter Thibeaux,Peter Thibeaux _1961
68,Mike Holton,Mike Holton _1961
69,McKinley Singleton,McKinley Singleton _1961
70,Derek Harper,Derek Harper _1961
71,Greg Kite,Greg Kite _1961
72,Sedale Threatt,Sedale Threatt _1961
73,Eddie Phillips,Eddie Phillips _1961
74,Jeff Cross,Jeff Cross _1961
75,LaSalle Thompson,LaSalle Thompson _1961
76,Craig Ehlo,Craig Ehlo _1961
77,Derek Smith,Derek Smith _1961
78,Stewart Granger,Stewart Granger _1961
79,Dane Suttle,Dane Suttle _1961
80,Rodney McCray,Rodney McCray _1961
81,Russell Cross,Russell Cross _1961
82,Norris Coleman,Norris Coleman _1961
83,Othell Wilson,Othell Wilson _1961
84,Howard Carter,Howard Carter _1961
85,Ben Coleman,Ben Coleman _1961
86,Clark Kellogg,Clark Kellogg _1961
87,Jeff Malone,Jeff Malone _1961
88,Antoine Carr,Antoine Carr _1961
89,Kevin Williams,Kevin Williams _1961
90,Doc Rivers,Doc Rivers _1961
91,Jon Sundvold,Jon Sundvold _1961
