1-Jan
Bones McKinney (1919)
John Logan (1921)
Ray Wertis (1922)
Ray Corley (1928)
Alan Sawyer (1928)
Jimmy Jones (1945)
Steven Kramer (1945)
Samuel Robinson (1948)
Travis Grant (1950)
Al Sanders (1950)
Dan Anderson (1951)
Rick Darnell (1953)
Mike Mitchell (1956)
Tony Robertson (1956)
Ronnie Lester (1959)
Jeff Taylor (1960)
Leroy Combs (1961)
Chris Anstey (1975)
Tiago Splitter (1985)
Glen Davis (1986)
Glen Rice Jr. (1991)
Larry Nance Jr. (1993)
2-Jan
Bob Feerick (1920)
Gerald Govan (1942)
Ed Manning (1944)
Mike Newlin (1949)
Michael Young (1961)
Chris Welp (1964)
Irving Thomas (1966)
Kirk Hinrich (1981)
Randolph Morris (1986)
Luke Harangody (1988)
Jonah Bolden (1996)
3-Jan
Jake Pelkington (1916)
Dick Schulz (1917)
Fritz Nagy (1924)
George McLeod (1931)
Bobby Lloyd (1946)
Don May (1946)
Paul Mokeski (1957)
Buck Johnson (1964)
Jay Edwards (1969)
Vincenzo Esposito (1969)
Tony Farmer (1970)
Melvin Sanders (1981)
Linas Kleiza (1985)
Nikola Pekovic (1986)
Cedric Simmons (1986)
Darius Morris (1991)
Doug McDermott (1992)
Rondae Hollis-Jefferson (1995)
4-Jan
Mel Bennett (1955)
Terry Crosby (1957)
Wayne Kreklow (1957)
Sidney Green (1961)
Cliff Levingston (1961)
Jim Rowinski (1961)
Fred Cofield (1962)
Joe Kleine (1962)
Scott Meents (1964)
Corie Blount (1969)
Will Bynum (1983)
Al Jefferson (1985)
James Michael McAdoo (1993)
Ante Zizic (1997)
Collin Sexton (1999)
5-Jan
George Munroe (1922)
Nate DeLong (1926)
Jack Kiley (1929)
Walt Davis (1931)
Richard Clark (1944)
Rick Mount (1947)
Alex English (1954)
Tony Price (1957)
Butch Graves (1962)
Miroslav Raduljica (1988)
Malachi Richardson (1996)
Tyler Ulis (1996)
6-Jan
Freddie Lewis (1921)
Cecil Hankins (1922)
Duane Klueh (1926)
Tom Marshall (1931)
Pearl Washington (1964)
Paul Grant (1974)
Gilbert Arenas (1982)
Sean Kilpatrick (1990)
Will Barton (1991)
Pat Connaughton (1993)
7-Jan
Deb Smith (1920)
Johnny Macknowski (1923)
Don Rehfeldt (1927)
Dan King (1931)
Jesse Branson (1942)
Todd Day (1970)
Trevor Winter (1974)
Marquis Daniels (1981)
Reece Gaines (1981)
JamesOn Curry (1986)
Jarnell Stokes (1994)
Jordan Bell (1995)
8-Jan
Bill Closs (1922)
Hook Dillon (1924)
Greg Howard (1948)
Sam Smith (1955)
Cedrick Hordges (1957)
Calvin Natt (1957)
Kevin McKenna (1959)
Granville Waiters (1961)
Willie Anderson (1967)
Todd Lichti (1967)
Larry Owens (1983)
Chris Douglas-Roberts (1987)
Greg Smith (1991)
Glenn Robinson III (1994)
Tony Bradley (1998)
9-Jan
Fred Diute (1929)
M.L. Carr (1951)
Muggsy Bogues (1965)
Aaron Swinson (1971)
Sharrod Ford (1982)
Bobby Jones (1984)
Michael Beasley (1989)
Samardo Samuels (1989)
Terrence Jones (1992)
10-Jan
Herm Hedderick (1930)
George Carter (1944)
Carl Fuller (1946)
Georgi Glouchkov (1960)
Glenn Robinson (1973)
A.J. Bramlett (1977)
11-Jan
Bud Acton (1942)
Wally Anderzunas (1946)
Chris Ford (1949)
Gary Brokaw (1954)
Andre Wakefield (1955)
Darryl Dawkins (1957)
Larry Robinson (1968)
Chris Jent (1970)
Efthimi Rentzias (1976)
Terence Morris (1979)
Damien Wilkins (1980)
Tony Allen (1982)
Chris Boucher (1993)
12-Jan
Jim Ray (1934)
Arthur Becker (1942)
Joe Kennedy (1947)
Claude Terry (1950)
Campy Russell (1952)
Dominique Wilkins (1960)
Charles Jones (1962)
Scott Burrell (1971)
Robert Hite (1984)
Hamady N’Diaye (1987)
Jamel Artis (1993)
13-Jan
Tom Gola (1933)
Vern Hatton (1936)
Art Harris (1947)
Earl Jones (1961)
Alec Kessler (1967)
Jason Sasser (1974)
James Posey (1977)
Ronny Turiaf (1983)
Henry Ellenson (1997)
14-Jan
Mike Bloom (1915)
Kenny Sailors (1921)
Hank Biasatti (1922)
Wayne Hightower (1940)
Swen Nater (1950)
Ron Behagen (1951)
John Lambert (1953)
Jeff Sanders (1966)
Jeff Martin (1967)
Aaron Brooks (1985)
David Nwaba (1993)
15-Jan
Bob Davies (1920)
Cliff Barker (1921)
Joe Graboski (1930)
Don Kojis (1939)
Jim Hadnot (1940)
Al Smith (1947)
Fred Hilton (1948)
Nate Hawthorne (1950)
Ernie DiGregorio (1951)
Bobby Wilson (1951)
Ricky Sobers (1953)
Felton Spencer (1968)
Roger Powell (1983)
Pavel Podkolzin (1985)
Donald Sloan (1988)
Kadeem Allen (1993)
George King (1994)
16-Jan
Mel Thurston (1919)
Ervin Inniger (1945)
C.J. Kupec (1953)
Gerald Henderson Sr. (1956)
Ron Moore (1962)
Cedric Hunter (1965)
Don MacLean (1970)
Marc Jackson (1975)
Randell Jackson (1976)
Jeff Foster (1977)
Justin Reed (1982)
Greivis Vasquez (1987)
Zhou Qi (1996)
17-Jan
Donnie Forman (1926)
Tony Jackson (1958)
Sam Worthen (1958)
Dirk Minniefield (1961)
Barry Stevens (1963)
Dwyane Wade (1982)
Earl Clark (1988)
Casper Ware (1990)
Tyler Zeller (1990)
Allonzo Trier (1996)
18-Jan
Gary Suiter (1945)
Bud Stallworth (1950)
Larry Smith (1958)
Bob Hansen (1961)
Cozell McQueen (1962)
Junior Burrough (1973)
Gorgui Dieng (1990)
Gary Trent Jr. (1999)
19-Jan
Buddy O’Grady (1920)
Dillard Crocker (1925)
Bill Mlkvy (1931)
Phil Rollins (1934)
Gary Melchionni (1951)
Michael Adams (1963)
Grant Gondrezick (1963)
Clinton Smith (1964)
Tito Horford (1966)
Andy Toolson (1966)
Marty Conlon (1968)
Luc Longley (1969)
Arvydas Macijauskas (1980)
JaVale McGee (1988)
20-Jan
Clint Wager (1920)
Dick Rosenthal (1930)
Norm Stewart (1935)
Bailey Howell (1937)
Bill Robinzine (1953)
Paul Griffin (1954)
Ron Harper (1964)
David Rivers (1965)
Chris Morris (1966)
Nick Anderson (1968)
Ira Newble (1975)
Jason Richardson (1981)
21-Jan
Jack Eskridge (1924)
Chuck Osborne (1939)
Tom Stith (1939)
Kenny McIntosh (1949)
Clifford Ray (1949)
Sidney Lowe (1960)
Hakeem Olajuwon (1963)
Detlef Schrempf (1963)
Doug Edwards (1971)
Howard Nathan (1972)
Michael Ruffin (1977)
Alex Acker (1983)
Mike Taylor (1986)
22-Jan
Lennie Rosenbluth (1933)
Larry Conley (1944)
Sam Williams (1945)
Bill Stricker (1948)
Jackie Dinkins (1950)
Frank Schade (1950)
Quintin Dailey (1961)
Stojko Vrankovic (1964)
Mike Iuzzolino (1968)
Leon Powe (1984)
Greg Oden (1988)
Xavier Silas (1988)
Dillon Brooks (1996)
23-Jan
Joe Colone (1924)
John Pritchard (1927)
Tom Hoover (1941)
Bob McIntyre (1944)
Lonnie Wright (1945)
Stan Washington (1952)
Frankie Sanders (1957)
Haywoode Workman (1966)
Larry Hughes (1979)
Keita Bates-Diop (1996)
24-Jan
Red Dehnert (1924)
Mark Eaton (1957)
Kelvin Upshaw (1963)
Fennis Dembo (1966)
Stevin Smith (1972)
Trey Gilder (1985)
DaJuan Summers (1988)
25-Jan
George Nostrand (1924)
Rollie Seltz (1924)
Dick McGuire (1926)
Ed Beach (1929)
Zeke Sinicola (1929)
Bob Peterson (1932)
Byron Beck (1945)
Walt Wesley (1945)
Ralph Ogden (1948)
Tim Kempton (1964)
Richard Petruska (1969)
Chris Mills (1970)
Josh Powell (1983)
Acie Law (1985)
26-Jan
Bob O’Brien (1927)
Hubie White (1940)
Vann Williford (1948)
Bob Ford (1950)
Tom Henderson (1952)
Sly Williams (1958)
Randy Allen (1965)
Reggie Jordan (1968)
