,Player,Class,Season,Pos,School,Conf,Year Drafted,Rd,Pk,Tm,Projected Pk
21844,Marcus Paige,SR,2016,G,North Carolina,ACC,2016,2,55,BRK,27.0
21852,Tony Parker,SR,2016,F,UCLA,Pac-12,2001,1,28,SAS,33.0
21865,Chinanu Onuaku,SO,2016,F,Louisville,ACC,2016,2,37,HOU,21.0
21880,Jamal Murray,FR,2016,G,Kentucky,SEC,2016,1,7,DEN,17.0
21881,Dejounte Murray,FR,2016,G,Washington,Pac-12,2016,1,29,SAS,29.0
21887,Abdel Nader,SR,2016,F,Iowa State,Big 12,2016,2,58,BOS,38.0
21908,Georges Niang,SR,2016,F,Iowa State,Big 12,2016,2,50,IND,10.0
21962,Malachi Richardson,FR,2016,G,Syracuse,ACC,2016,1,22,CHO,36.0
22122,Jake Layman,SR,2016,F,Maryland,Big Ten,2016,2,47,ORL,35.0
22141,Caris LeVert,SR,2016,G,Michigan,Big Ten,2016,1,20,IND,30.0
22200,Patrick McCaw,SO,2016,G,Nevada-Las Vegas,MWC,2016,2,38,MIL,33.0
22242,Denzel Valentine,SR,2016,G,Michigan State,Big Ten,2016,1,14,CHI,26.0
22275,Tyrone Wallace,SR,2016,G,University of California,Pac-12,2016,2,60,UTA,26.0
22277,Tyler Ulis,SO,2016,G,Kentucky,SEC,2016,2,34,PHO,20.0
22381,James White,SR,2016,G,Georgia Tech,ACC,2006,2,31,POR,33.0
22391,Earl Watson,SR,2016,C,Rhode Island,A-10,2001,2,40,SEA,29.0
22410,Isaiah Whitehead,SO,2016,G,Seton Hall,Big East,2016,2,42,UTA,31.0
22444,Ben Simmons,FR,2016,F,Louisiana State,SEC,2016,1,1,PHI,13.0
22448,Pascal Siakam,SO,2016,F,New Mexico State,WAC,2016,1,27,TOR,15.0
22491,Domantas Sabonis,SO,2016,F,Gonzaga,WCC,2016,1,11,ORL,22.0
22533,Diamond Stone,FR,2016,C,Maryland,Big Ten,2016,2,40,NOP,18.0
22561,Josh Smith,SR,2016,F,Clemson,ACC,2004,1,17,ATL,29.0
22622,Marquese Chriss,FR,2016,F,Washington,Pac-12,2016,1,8,SAC,14.0
22722,Cheick Diallo,FR,2016,F,Kansas,Big 12,2016,2,33,LAC,27.0
22790,Isaiah Cousins,SR,2016,G,Oklahoma,Big 12,2016,2,59,SAC,43.0
22793,Deyonta Davis,FR,2016,F,Michigan State,Big Ten,2016,2,31,BOS,18.0
22855,Malik Beasley,FR,2016,G,Florida State,ACC,2016,1,19,DEN,31.0
22865,Wade Baldwin,SO,2016,G,Vanderbilt,SEC,2016,1,17,MEM,16.0
22913,Ryan Anderson,SR,2016,F,Arizona,Pac-12,2008,1,21,NJN,35.0
22939,Malcolm Brogdon,SR,2016,G,Virginia,ACC,2016,2,36,MIL,29.0
22968,Anthony Brown,FR,2016,G,Green Bay,Horizon,2015,2,34,LAL,22.0
22976,Jaylen Brown,FR,2016,F,University of California,Pac-12,2016,1,3,BOS,23.0
23005,Ben Bentil,SO,2016,F,Providence,Big East,2016,2,51,BOS,33.0
23015,Jonah Bolden,SO,2016,F,UCLA,Pac-12,2017,2,36,PHI,31.0
23019,Joel Bolomboy,SR,2016,F,Weber State,Big Sky,2016,2,52,UTA,31.0
23073,Demetrius Jackson,JR,2016,G,Notre Dame,ACC,2016,2,45,BOS,35.0
23095,Brandon Ingram,FR,2016,G,Duke,ACC,2016,1,2,LAL,27.0
23141,Buddy Hield,SR,2016,G,Oklahoma,Big 12,2016,1,6,NOP,12.0
23202,Brice Johnson,SR,2016,F,North Carolina,ACC,2016,1,25,LAC,25.0
23221,Wesley Johnson,SO,2016,F,Charleston Southern,Big South,2010,1,4,MIN,30.0
23228,Damian Jones,JR,2016,C,Vanderbilt,SEC,2016,1,30,GSW,9.0
23255,Kay Felder,JR,2016,G,Oakland,Horizon,2016,2,54,ATL,18.0
23314,Kris Dunn,JR,2016,G,Providence,Big East,2016,1,5,MIN,30.0
23345,Henry Ellenson,FR,2016,F,Marquette,Big East,2016,1,18,DET,31.0
23390,Daniel Hamilton,SO,2016,G,Connecticut,AAC,2016,2,56,DEN,32.0
23400,A.J. Hammons,SR,2016,C,Purdue,Big Ten,2016,2,46,DAL,16.0
23415,Michael Gbinije,SR,2016,F,Syracuse,ACC,2016,2,49,DET,40.0
23510,Semi Ojeleye,JR,2017,F,Southern Methodist,AAC,2017,2,37,BOS,43.0
23537,Monte Morris,SR,2017,G,Iowa State,Big 12,2017,2,51,DEN,32.0
23594,Ivan Rabb,SO,2017,F,University of California,Pac-12,2017,2,35,ORL,24.0
23612,Davon Reed,SR,2017,G,Miami (FL),ACC,2017,2,32,PHO,40.0
23626,Alec Peters,SR,2017,F,Valparaiso,Horizon,2017,2,54,PHO,38.0
23640,Justin Patton,FR,2017,C,Creighton,Big East,2017,1,16,CHI,22.0
