,Player,Class,Season,Pos,School,Conf,Year Drafted,Rd,Pk,Tm,Projected Pk
18341,Marcus Paige,SR,2016,G,North Carolina,ACC,2016,2,55,BRK,25.0
18369,Chinanu Onuaku,SO,2016,F,Louisville,ACC,2016,2,37,HOU,21.0
18382,Jamal Murray,FR,2016,G,Kentucky,SEC,2016,1,7,DEN,36.0
18386,Dejounte Murray,FR,2016,G,Washington,Pac-12,2016,1,29,SAS,28.0
18475,Malachi Richardson,FR,2016,G,Syracuse,ACC,2016,1,22,CHO,26.0
18695,Jake Layman,SR,2016,F,Maryland,Big Ten,2016,2,47,ORL,23.0
18696,Caris LeVert,SR,2016,G,Michigan,Big Ten,2016,1,20,IND,27.0
18764,Patrick McCaw,SO,2016,G,Nevada-Las Vegas,MWC,2016,2,38,MIL,29.0
18819,Denzel Valentine,SR,2016,G,Michigan State,Big Ten,2016,1,14,CHI,38.0
18862,Tyler Ulis,SO,2016,G,Kentucky,SEC,2016,2,34,PHO,30.0
19032,Isaiah Whitehead,SO,2016,G,Seton Hall,Big East,2016,2,42,UTA,33.0
19081,Pascal Siakam,SO,2016,F,New Mexico State,WAC,2016,1,27,TOR,37.0
19129,Domantas Sabonis,SO,2016,F,Gonzaga,WCC,2016,1,11,ORL,33.0
19181,Diamond Stone,FR,2016,C,Maryland,Big Ten,2016,2,40,NOP,22.0
19301,Marquese Chriss,FR,2016,F,Washington,Pac-12,2016,1,8,SAC,26.0
19422,Cheick Diallo,FR,2016,F,Kansas,Big 12,2016,2,33,LAC,10.0
19505,Isaiah Cousins,SR,2016,G,Oklahoma,Big 12,2016,2,59,SAC,23.0
19509,Deyonta Davis,FR,2016,F,Michigan State,Big Ten,2016,2,31,BOS,16.0
19581,Malik Beasley,FR,2016,G,Florida State,ACC,2016,1,19,DEN,28.0
19596,Wade Baldwin,SO,2016,G,Vanderbilt,SEC,2016,1,17,MEM,26.0
19684,Malcolm Brogdon,SR,2016,G,Virginia,ACC,2016,2,36,MIL,32.0
19762,Ben Bentil,SO,2016,F,Providence,Big East,2016,2,51,BOS,37.0
19777,Joel Bolomboy,SR,2016,F,Weber State,Big Sky,2016,2,52,UTA,34.0
19838,Demetrius Jackson,JR,2016,G,Notre Dame,ACC,2016,2,45,BOS,26.0
19865,Brandon Ingram,FR,2016,G,Duke,ACC,2016,1,2,LAL,32.0
19925,Buddy Hield,SR,2016,G,Oklahoma,Big 12,2016,1,6,NOP,44.0
20002,Brice Johnson,SR,2016,F,North Carolina,ACC,2016,1,25,LAC,34.0
20041,Damian Jones,JR,2016,C,Vanderbilt,SEC,2016,1,30,GSW,25.0
20078,Kay Felder,JR,2016,G,Oakland,Horizon,2016,2,54,ATL,42.0
20142,Kris Dunn,JR,2016,G,Providence,Big East,2016,1,5,MIN,31.0
20179,Henry Ellenson,FR,2016,F,Marquette,Big East,2016,1,18,DET,31.0
20240,Daniel Hamilton,SO,2016,G,Connecticut,AAC,2016,2,56,DEN,26.0
20251,A.J. Hammons,SR,2016,C,Purdue,Big Ten,2016,2,46,DAL,28.0
20269,Michael Gbinije,SR,2016,F,Syracuse,ACC,2016,2,49,DET,32.0
20378,Semi Ojeleye,JR,2017,F,Southern Methodist,AAC,2017,2,37,BOS,35.0
20507,Davon Reed,SR,2017,G,Miami (FL),ACC,2017,2,32,PHO,28.0
20522,Alec Peters,SR,2017,F,Valparaiso,Horizon,2017,2,54,PHO,41.0
20536,Justin Patton,FR,2017,C,Creighton,Big East,2017,1,16,CHI,23.0
20595,Tyler Lydon,SO,2017,F,Syracuse,ACC,2017,1,24,UTA,26.0
20638,Lauri Markkanen,FR,2017,F,Arizona,Pac-12,2017,1,7,MIN,31.0
20679,Kyle Kuzma,JR,2017,F,Utah,Pac-12,2017,1,27,BRK,29.0
20745,De'Anthony Melton,FR,2017,G,Southern California,Pac-12,2018,2,46,HOU,19.0
20751,Malik Monk,FR,2017,G,Kentucky,SEC,2017,1,11,CHO,35.0
20779,Donovan Mitchell,SO,2017,G,Louisville,ACC,2017,1,13,DEN,32.0
20808,Frank Mason,SR,2017,G,Kansas,Big 12,2017,2,34,SAC,35.0
20927,Sindarius Thornwell,SR,2017,G,South Carolina,SEC,2017,2,48,MIL,41.0
21013,Nigel Williams-Goss,JR,2017,G,Gonzaga,WCC,2017,2,55,UTA,32.0
21020,D.J. Wilson,JR,2017,F,Michigan,Big Ten,2017,1,17,MIL,21.0
21057,Derrick White,SR,2017,G,Colorado,Pac-12,2017,1,29,SAS,32.0
21260,Caleb Swanigan,SO,2017,F,Purdue,Big Ten,2017,1,26,POR,36.0
21264,Edmond Sumner,SO,2017,G,Xavier,Big East,2017,2,52,NOP,24.0
21305,Jayson Tatum,FR,2017,F,Duke,ACC,2017,1,3,BOS,31.0
21411,Zach Collins,FR,2017,F,Gonzaga,WCC,2017,1,10,SAC,24.0
21580,Tyler Dorsey,SO,2017,G,Oregon,Pac-12,2017,2,41,ATL,27.0
21652,Dwayne Bacon,SO,2017,G,Florida State,ACC,2017,2,40,NOP,29.0
21659,Lonzo Ball,FR,2017,G,UCLA,Pac-12,2017,1,2,LAL,30.0
21686,OG Anunoby,SO,2017,F,Indiana,Big Ten,2017,1,23,TOR,22.0
21752,Bam Adebayo,FR,2017,F,Kentucky,SEC,2017,1,14,MIA,25.0
21766,Ike Anigbogu,FR,2017,F,UCLA,Pac-12,2017,2,47,IND,12.0
21778,Kadeem Allen,SR,2017,G,Arizona,Pac-12,2017,2,53,BOS,20.0
21781,Jarrett Allen,FR,2017,F,Texas,Big 12,2017,1,22,BRK,22.0
21823,Tony Bradley,FR,2017,F,North Carolina,ACC,2017,1,28,LAL,17.0
21827,Dillon Brooks,JR,2017,F,Oregon,Pac-12,2017,2,45,HOU,29.0
21832,Sterling Brown,SR,2017,G,Southern Methodist,AAC,2017,2,46,PHI,28.0
21842,Thomas Bryant,SO,2017,C,Indiana,Big Ten,2017,2,42,UTA,24.0
21888,Jordan Bell,JR,2017,F,Oregon,Pac-12,2017,2,38,CHI,24.0
21927,Jaron Blossomgame,SR,2017,F,Clemson,ACC,2017,2,59,SAS,28.0
21974,Frank Jackson,FR,2017,G,Duke,ACC,2017,2,31,CHO,20.0
21977,Josh Jackson,FR,2017,G,Kansas,Big 12,2017,1,4,PHO,31.0
21978,Justin Jackson,JR,2017,F,North Carolina,ACC,2017,1,15,POR,33.0
21995,Wesley Iwundu,SR,2017,F,Kansas State,Big 12,2017,2,33,ORL,24.0
22000,Jonathan Isaac,FR,2017,F,Florida State,ACC,2017,1,6,ORL,26.0
22031,Josh Hart,SR,2017,G,Villanova,Big East,2017,1,30,UTA,36.0
22086,Luke Kennard,SO,2017,G,Duke,ACC,2017,1,12,DET,34.0
22216,De'Aaron Fox,FR,2017,G,Kentucky,SEC,2017,1,5,SAC,29.0
22241,Markelle Fultz,FR,2017,G,Washington,Pac-12,2017,1,1,PHI,38.0
22338,Jawun Evans,SO,2017,G,Oklahoma State,Big 12,2017,2,39,PHI,32.0
22408,Harry Giles,FR,2017,F,Duke,ACC,2017,1,20,POR,11.0
22515,Josh Okogie,SO,2018,G,Georgia Tech,ACC,2018,1,20,MIN,32.0
22536,Sviatoslav Mykhailiuk,SR,2018,G,Kansas,Big 12,2018,2,47,LAL,27.0
22877,Chimezie Metu,JR,2018,F,Southern California,Pac-12,2018,2,49,SAS,27.0
22939,Shake Milton,JR,2018,G,Southern Methodist,AAC,2018,2,54,DAL,31.0
23005,Jarred Vanderbilt,FR,2018,F,Kentucky,SEC,2018,2,41,ORL,15.0
23045,Lonnie Walker,FR,2018,G,Miami (FL),ACC,2018,1,18,SAS,21.0
23056,Moritz Wagner,JR,2018,F,Michigan,Big Ten,2018,1,25,LAL,30.0
23093,Khyri Thomas,JR,2018,G,Creighton,Big East,2018,2,38,PHI,27.0
23182,Robert Williams,SO,2018,F,Texas A&M,SEC,2018,1,27,BOS,22.0
23197,Trae Young,FR,2018,G,Oklahoma,Big 12,2018,1,5,DAL,47.0
23199,Kevin Knox,FR,2018,F,Kentucky,SEC,2018,1,9,NYK,28.0
23239,Thomas Welsh,SR,2018,C,UCLA,Pac-12,2018,2,58,DEN,26.0
23333,Collin Sexton,FR,2018,G,Alabama,SEC,2018,1,8,CLE,32.0
23336,Landry Shamet,SO,2018,G,Wichita State,AAC,2018,1,26,PHI,27.0
23377,Jerome Robinson,JR,2018,G,Boston College,ACC,2018,1,13,LAC,33.0
23573,Zhaire Smith,FR,2018,G,Texas Tech,Big 12,2018,1,16,PHO,22.0
23580,Omari Spellman,FR,2018,F,Villanova,Big East,2018,1,30,ATL,25.0
23712,Tony Carr,SO,2018,G,Penn State,Big Ten,2018,2,51,NOP,34.0
23734,Jevon Carter,SR,2018,G,West Virginia,Big 12,2018,2,32,MEM,34.0
23755,Donte DiVincenzo,SO,2018,G,Villanova,Big East,2018,1,17,MIL,27.0
23781,Hamidou Diallo,FR,2018,G,Kentucky,SEC,2018,2,45,BRK,18.0
23881,Deandre Ayton,FR,2018,F,Arizona,Pac-12,2018,1,1,PHO,36.0
23914,Keita Bates-Diop,JR,2018,F,Ohio State,Big Ten,2018,2,48,MIN,37.0
23930,Mohamed Bamba,FR,2018,F,Texas,Big 12,2018,1,6,ORL,28.0
23986,Kostas Antetokounmpo,FR,2018,F,Dayton,A-10,2018,2,60,PHI,11.0
23995,Grayson Allen,SR,2018,G,Duke,ACC,2018,1,21,UTA,30.0
24016,Bruce Brown,SO,2018,G,Miami (FL),ACC,2018,2,42,DET,21.0
24020,Miles Bridges,SO,2018,G,Michigan State,Big Ten,2018,1,12,LAC,32.0
24037,Mikal Bridges,JR,2018,G,Villanova,Big East,2018,1,10,PHI,35.0
24056,Jalen Brunson,JR,2018,G,Villanova,Big East,2018,2,33,DAL,33.0
24072,Troy Brown,FR,2018,F,Oregon,Pac-12,2018,1,15,WAS,22.0
24148,Kevin Huerter,SO,2018,G,Maryland,Big Ten,2018,1,19,ATL,27.0
24190,Justin Jackson,SO,2018,F,Maryland,Big Ten,2018,2,43,DEN,19.0
24199,Chandler Hutchison,SR,2018,G,Boise State,MWC,2018,1,22,CHI,37.0
24265,Aaron Holiday,JR,2018,G,UCLA,Pac-12,2018,1,23,IND,34.0
24276,Dewan Hernandez,SO,2018,F,Miami (FL),ACC,2019,2,59,TOR,20.0
24283,Kevin Hervey,SR,2018,F,Texas-Arlington,Sun Belt,2018,2,57,OKC,38.0
24359,George King,SR,2018,G,Colorado,Pac-12,2018,2,59,PHO,26.0
24375,Alize Johnson,SR,2018,F,Missouri State,MVC,2018,2,50,IND,31.0
24440,Melvin Frazier,JR,2018,G,Tulane,AAC,2018,2,35,ORL,27.0
24504,Jacob Evans,JR,2018,G,Cincinnati,AAC,2018,1,28,GSW,27.0
24512,Vince Edwards,SR,2018,F,Purdue,Big Ten,2018,2,52,UTA,27.0
24590,Devon Hall,SR,2018,G,Virginia,ACC,2018,2,53,OKC,23.0
24624,Shai Gilgeous-Alexander,FR,2018,G,Kentucky,SEC,2018,1,11,CHO,24.0
24655,Devonte' Graham,SR,2018,G,Kansas,Big 12,2018,2,34,ATL,32.0
24822,Jaylen Nowell,SO,2019,G,Washington,Pac-12,2019,2,43,MIN,27.0
24953,Ja Morant,SO,2019,G,Murray State,OVC,2019,1,2,MEM,42.0
24998,Kevin Porter Jr,FR,2019,G,Southern California,Pac-12,2019,1,30,MIL,19.0
25003,Jordan Poole,SO,2019,G,Michigan,Big Ten,2019,1,28,GSW,24.0
25164,Kezie Okpala,SO,2019,F,Stanford,Pac-12,2019,2,32,PHO,28.0
25171,Chuma Okeke,SO,2019,F,Auburn,SEC,2019,1,16,ORL,26.0
25182,Miye Oni,JR,2019,G,Yale,Ivy,2019,2,58,GSW,32.0
25241,Eric Paschall,SR,2019,F,Villanova,Big East,2019,2,41,GSW,30.0
25400,Romeo Langford,FR,2019,G,Indiana,Big Ten,2019,1,14,BOS,28.0
25415,Nassir Little,FR,2019,F,North Carolina,ACC,2019,1,25,POR,20.0
25604,Jalen McDaniels,SO,2019,F,San Diego State,MWC,2019,2,52,CHO,28.0
25710,Terance Mann,SR,2019,G,Florida State,ACC,2019,2,48,LAC,22.0
25823,Cody Martin,SR,2019,F,Nevada,MWC,2019,2,36,CHO,22.0
26127,Matisse Thybulle,SR,2019,G,Washington,Pac-12,2019,1,20,BOS,23.0
26164,Dylan Windler,SR,2019,G,Belmont,OVC,2019,1,26,CLE,42.0
26206,Zion Williamson,FR,2019,F,Duke,ACC,2019,1,1,NOP,41.0
26265,Justin Wright-Foreman,SR,2019,G,Hofstra,CAA,2019,2,53,UTA,43.0
26320,PJ Washington,SO,2019,F,Kentucky,SEC,2019,1,12,CHO,29.0
26333,Tremont Waters,SO,2019,G,Louisiana State,SEC,2019,2,51,BOS,28.0
26350,Quinndary Weatherspoon,SR,2019,G,Mississippi State,SEC,2019,2,49,SAS,32.0
26374,Grant Williams,JR,2019,F,Tennessee,SEC,2019,1,22,BOS,35.0
26398,Coby White,FR,2019,G,North Carolina,ACC,2019,1,7,CHI,30.0
26555,Admiral Schofield,SR,2019,G,Tennessee,SEC,2019,2,42,PHI,29.0
26623,Cam Reddish,FR,2019,F,Duke,ACC,2019,1,10,ATL,28.0
26648,Isaiah Roby,JR,2019,F,Nebraska,Big Ten,2019,2,45,DET,24.0
27033,Brandon Clarke,JR,2019,F,Gonzaga,WCC,2019,1,21,OKC,34.0
27049,Nicolas Claxton,SO,2019,F,Georgia,SEC,2019,2,31,BRK,26.0
27467,Jarrett Culver,SO,2019,G,Texas Tech,Big 12,2019,1,6,PHO,35.0
27685,R.J. Barrett,FR,2019,F,Duke,ACC,2019,1,3,NYK,40.0
27773,Nickeil Alexander-Walker,SO,2019,G,Virginia Tech,ACC,2019,1,17,BRK,30.0
27933,Ignas Brazdeikis,FR,2019,F,Michigan,Big Ten,2019,2,47,SAC,28.0
