,Player,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER
0,Michael Jordan,37.97,10.96,22.81,0.4797,0.73,2.01,0.3329,10.24,20.8,0.492,0.4953,5.99,7.28,0.8231,1.39,4.89,6.3,4.98,2.09,0.66,2.43,2.36,28.63,39.764
1,LeBron James,38.49375,9.88125,19.5875,0.506375,1.45,4.20625,0.3435,8.4375,15.36875,0.5519375,0.5434375,5.9375,8.1,0.7339375,1.20625,6.24375,7.425,7.2375,1.6125,0.75625,3.48125,1.8375,27.15625,38.455
2,Kevin Durant,36.61666667,9.175,18.56666667,0.495166667,1.9,4.95,0.379666667,7.283333333,13.63333333,0.539,0.546,6.616666667,7.516666667,0.879583333,0.708333333,6.358333333,7.075,4.125,1.1,1.116666667,3.091666667,1.883333333,26.88333333,37.04666667
3,Karl Malone,37.36666667,9.033333333,17.54666667,0.5132,0.046666667,0.233333333,0.233933333,8.973333333,17.30666667,0.516333333,0.515066667,6.886666667,9.046666667,0.760666667,2.22,7.773333333,9.98,3.88,1.4,0.786666667,2.946666667,2.933333333,25.04666667,35.304
4,James Harden,34.08,7.15,16.09,0.4434,2.63,7.22,0.3664,4.52,8.89,0.5072,0.5247,7.28,8.51,0.8526,0.75,4.44,5.19,6.15,1.55,0.49,3.6,2.57,24.22,35.806
5,Kobe Bryant,35.77,8.45,19.04,0.4414,1.3,4.06,0.3177,7.15,14.975,0.47345,0.4762,6.01,7.185,0.83495,1.065,4.12,5.2,4.76,1.41,0.46,3.13,2.44,24.2,33.306
6,Allen Iverson,39.33,8.365,19.54,0.4337,0.965,3.1,0.34105,7.405,16.445,0.45465,0.45755,6.465,8.32,0.7671,0.725,2.66,3.375,5.895,1.855,0.155,3.415,1.785,24.16,30.5725
7,Carmelo Anthony,35.51111111,8.483333333,18.93333333,0.445888889,1.344444444,3.833333333,0.339722222,7.138888889,15.09444444,0.471555556,0.482666667,5.472222222,6.716666667,0.806722222,1.65,4.894444444,6.544444444,2.883333333,0.977777778,0.511111111,2.561111111,2.9,23.76111111,32.59833333
8,Damian Lillard,36.25714286,7.8,18.04285714,0.433285714,2.785714286,7.471428571,0.368571429,5.085714286,10.54285714,0.479714286,0.509857143,5.242857143,5.9,0.884857143,0.628571429,3.542857143,4.171428571,6.357142857,0.985714286,0.328571429,2.771428571,2.028571429,23.64285714,33.95428571
9,Anthony Davis,34.44285714,8.871428571,17.12857143,0.517,0.385714286,1.257142857,0.228428571,8.471428571,15.91428571,0.531857143,0.527142857,5.457142857,6.885714286,0.789857143,2.6,7.914285714,10.51428571,2.142857143,1.385714286,2.385714286,1.857142857,2.385714286,23.57142857,38.90142857
10,Joel Embiid,29.8,7.9,16.43333333,0.477666667,1.133333333,3.566666667,0.325,6.7,12.9,0.519,0.513,6.7,8.466666667,0.785333333,2.266666667,8.566666667,10.8,3,0.733333333,2.066666667,3.666666667,3.4,23.53333333,40.93666667
11,Dominique Wilkins,32.91,8.36,18.59,0.4431,1.04,3.31,0.3119,7.33,15.29,0.4699,0.4711,5.33,6.47,0.811,2.42,3.91,6.32,2.43,1.05,0.42,2.22,1.62,23.11,34.785
12,Stephen Curry,33.88,7.99,16.7,0.478,3.51,8.05,0.4379,4.46,8.65,0.5195,0.581,3.58,3.96,0.897,0.71,3.79,4.47,6.47,1.69,0.24,3.07,2.46,23.06,36.284
13,Russell Westbrook,34.38181818,8.1,18.63636364,0.433818182,1.145454545,3.736363636,0.300454545,6.945454545,14.90909091,0.465363636,0.462909091,5.718181818,7.127272727,0.797363636,1.663636364,5.327272727,6.990909091,8.336363636,1.754545455,0.318181818,4.054545455,2.5,23.03636364,37.43
14,Karl-Anthony Towns,34.425,8.5,15.875,0.53675,1.225,3.15,0.38225,7.275,12.75,0.572,0.57475,4.025,4.825,0.83425,3.175,8.7,11.875,2.625,0.775,1.5,2.45,3.3,22.275,35.6825
15,DeMarcus Cousins,32.26363636,7.781818182,16.93636364,0.460272727,0.9,2.627272727,0.254090909,6.9,14.29090909,0.484727273,0.485090909,5.663636364,7.6,0.741272727,2.581818182,8.372727273,10.95454545,3.536363636,1.427272727,1.263636364,3.554545455,3.872727273,22.15454545,36.43090909
16,Donovan Mitchell,33.55,8.05,18.55,0.4345,2.4,6.85,0.351,5.65,11.7,0.485,0.4995,3.55,4.45,0.8055,0.75,3.2,3.9,3.95,1.45,0.35,2.75,2.7,22.15,32.225
17,Shaquille O'Neal,33.47142857,8.766666667,15.02857143,0.587428571,0,0.00952381,0.023809524,8.761904762,15.01904762,0.588,0.58747619,4.542857143,8.714285714,0.52052381,3.304761905,7.09047619,10.38571429,2.347619048,0.585714286,2.095238095,2.719047619,3.466666667,22.09047619,34.27238095
18,Kyrie Irving,33.575,8.1125,17.4375,0.46475,2.0625,5.3,0.38675,6.05,12.125,0.499375,0.5235,3.7875,4.3375,0.875375,0.7625,2.875,3.65,5.6375,1.3125,0.35,2.65,2.2,22.0625,34.05875
19,Devin Booker,33.05,7.55,17.2,0.43625,2,5.65,0.35375,5.525,11.575,0.47675,0.49425,4.75,5.575,0.854,0.525,3.05,3.575,4.375,0.825,0.275,3.225,3.075,21.85,30.14
20,Blake Griffin,34.70909091,8.090909091,16.56363636,0.489909091,0.863636364,2.545454545,0.303181818,7.218181818,14.02727273,0.512818182,0.515090909,4.645454545,6.554545455,0.714545455,1.963636364,6.618181818,8.572727273,4.772727273,0.845454545,0.472727273,2.627272727,2.790909091,21.68181818,33.45363636
21,Larry Bird,38.06666667,8.366666667,18,0.464333333,1.133333333,2.9,0.376,7.266666667,15.1,0.480666667,0.495666667,3.433333333,3.766666667,0.915666667,1.033333333,8.166666667,9.2,7.166666667,1.366666667,0.833333333,3.033333333,2.033333333,21.3,32.67666667
22,Charles Barkley,36.19090909,7.581818182,14.7,0.513363636,0.6,2.145454545,0.256,7,12.56363636,0.554454545,0.532909091,5.536363636,7.6,0.724,3.609090909,7.9,11.52727273,4.127272727,1.427272727,0.563636364,2.772727273,2.690909091,21.3,34.01909091
23,Luka Dončić,32.2,7,16.5,0.427,2.3,7.1,0.327,4.7,9.3,0.503,0.497,4.8,6.7,0.713,1.2,6.6,7.8,6,1.1,0.3,3.4,1.9,21.2,35.44
24,Clyde Drexler,35.84545455,7.463636364,16.39090909,0.454545455,1.345454545,4.081818182,0.325454545,6.090909091,12.3,0.495272727,0.497181818,4.618181818,5.754545455,0.798272727,2.154545455,4.227272727,6.372727273,5.5,1.818181818,0.645454545,2.590909091,2.836363636,20.89090909,33.20454545
