,Player,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,Year,Rd,Pk,Tm
1,LeBron James,38.49375,9.88125,19.5875,0.506375,1.45,4.20625,0.3435,8.4375,15.36875,0.5519375,0.5434375,5.9375,8.1,0.7339375,1.20625,6.24375,7.425,7.2375,1.6125,0.75625,3.48125,1.8375,27.15625,38.455,2003,1,1,CLE
2,Kevin Durant,36.61666667,9.175,18.56666667,0.495166667,1.9,4.95,0.379666667,7.283333333,13.63333333,0.539,0.546,6.616666667,7.516666667,0.879583333,0.708333333,6.358333333,7.075,4.125,1.1,1.116666667,3.091666667,1.883333333,26.88333333,37.04666667,2007,1,2,SEA
4,James Harden,34.08,7.15,16.09,0.4434,2.63,7.22,0.3664,4.52,8.89,0.5072,0.5247,7.28,8.51,0.8526,0.75,4.44,5.19,6.15,1.55,0.49,3.6,2.57,24.22,35.806,2009,1,3,OKC
7,Carmelo Anthony,35.51111111,8.483333333,18.93333333,0.445888889,1.344444444,3.833333333,0.339722222,7.138888889,15.09444444,0.471555556,0.482666667,5.472222222,6.716666667,0.806722222,1.65,4.894444444,6.544444444,2.883333333,0.977777778,0.511111111,2.561111111,2.9,23.76111111,32.59833333,2003,1,3,DEN
8,Damian Lillard,36.25714286,7.8,18.04285714,0.433285714,2.785714286,7.471428571,0.368571429,5.085714286,10.54285714,0.479714286,0.509857143,5.242857143,5.9,0.884857143,0.628571429,3.542857143,4.171428571,6.357142857,0.985714286,0.328571429,2.771428571,2.028571429,23.64285714,33.95428571,2012,1,6,POR
9,Anthony Davis,34.44285714,8.871428571,17.12857143,0.517,0.385714286,1.257142857,0.228428571,8.471428571,15.91428571,0.531857143,0.527142857,5.457142857,6.885714286,0.789857143,2.6,7.914285714,10.51428571,2.142857143,1.385714286,2.385714286,1.857142857,2.385714286,23.57142857,38.90142857,2012,1,1,NOH
10,Joel Embiid,29.8,7.9,16.43333333,0.477666667,1.133333333,3.566666667,0.325,6.7,12.9,0.519,0.513,6.7,8.466666667,0.785333333,2.266666667,8.566666667,10.8,3,0.733333333,2.066666667,3.666666667,3.4,23.53333333,40.93666667,2014,1,3,PHI
12,Stephen Curry,33.88,7.99,16.7,0.478,3.51,8.05,0.4379,4.46,8.65,0.5195,0.581,3.58,3.96,0.897,0.71,3.79,4.47,6.47,1.69,0.24,3.07,2.46,23.06,36.284,2009,1,7,GSW
13,Russell Westbrook,34.38181818,8.1,18.63636364,0.433818182,1.145454545,3.736363636,0.300454545,6.945454545,14.90909091,0.465363636,0.462909091,5.718181818,7.127272727,0.797363636,1.663636364,5.327272727,6.990909091,8.336363636,1.754545455,0.318181818,4.054545455,2.5,23.03636364,37.43,2008,1,4,SEA
14,Karl-Anthony Towns,34.425,8.5,15.875,0.53675,1.225,3.15,0.38225,7.275,12.75,0.572,0.57475,4.025,4.825,0.83425,3.175,8.7,11.875,2.625,0.775,1.5,2.45,3.3,22.275,35.6825,2015,1,1,MIN
15,DeMarcus Cousins,32.26363636,7.781818182,16.93636364,0.460272727,0.9,2.627272727,0.254090909,6.9,14.29090909,0.484727273,0.485090909,5.663636364,7.6,0.741272727,2.581818182,8.372727273,10.95454545,3.536363636,1.427272727,1.263636364,3.554545455,3.872727273,22.15454545,36.43090909,2010,1,5,SAC
16,Donovan Mitchell,33.55,8.05,18.55,0.4345,2.4,6.85,0.351,5.65,11.7,0.485,0.4995,3.55,4.45,0.8055,0.75,3.2,3.9,3.95,1.45,0.35,2.75,2.7,22.15,32.225,2017,1,13,DEN
18,Kyrie Irving,33.575,8.1125,17.4375,0.46475,2.0625,5.3,0.38675,6.05,12.125,0.499375,0.5235,3.7875,4.3375,0.875375,0.7625,2.875,3.65,5.6375,1.3125,0.35,2.65,2.2,22.0625,34.05875,2011,1,1,CLE
19,Devin Booker,33.05,7.55,17.2,0.43625,2,5.65,0.35375,5.525,11.575,0.47675,0.49425,4.75,5.575,0.854,0.525,3.05,3.575,4.375,0.825,0.275,3.225,3.075,21.85,30.14,2015,1,13,PHO
