Count of Award,Column Labels,,,,,,,,,,,,
Row Labels,AP Player of the Year,NABC Defensive Player of the Year,NABC Player of the Year,Naismith Award,NCAA Tournament Most Outstanding Player,NIT Most Valuable Player,Rupp Trophy,Sporting News Player of the Year,UPI Player of the Year,USBWA Freshman of the Year,USBWA Player of the Year,Wooden Award,Grand Total
Aaron Bright(Stanford),,,,,,1,,,,,,,1
Aaron Craft(Ohio State),,1,,,,,,,,,,,1
Adam Keefe(Stanford),,,,,,1,,,,,,,1
Adam Morrison(Gonzaga),,,,,,,,,,,1,1,2
Alonzo Mourning(Georgetown),,1,,,,,,,,,,,1
Andrew Bogut(Utah),1,,1,1,,,,,,,1,1,5
Antawn Jamison(North Carolina),1,,1,1,,,1,1,,,1,1,7
Anthony Davis(Kentucky),1,1,,1,1,,1,1,,1,1,1,9
Austin Hollins(Minnesota),,,,,,1,,,,,,,1
Ben Simmons(Louisiana State),,,,,,,,,,1,,,1
Blake Griffin(Oklahoma),1,,1,1,,,1,1,,,1,1,7
Bobby Hurley(Duke),,,,,1,,,,,,,,1
Bryant Stith(Virginia),,,,,,1,,,,,,,1
Buddy Hield(Oklahoma),,,,1,,,,1,,,1,1,4
Calbert Cheaney(Indiana),1,,1,1,,,1,1,1,,1,1,8
Carlos Powell(South Carolina),,,,,,1,,,,,,,1
Carmelo Anthony(Syracuse),,,,,1,,,,,1,,,2
Chasson Randle(Stanford),,,,,,1,,,,,,,1
Chris Johnson(Dayton),,,,,,1,,,,,,,1
Chris Webber(Michigan),,,,,,,,,,1,,,1
Christian Laettner(Duke),1,,1,1,1,,1,1,,,1,1,8
Corey Brewer(Florida),,,,,1,,,,,,,,1
Corliss Williamson(Arkansas),,,,,1,,,,,,,,1
Dajuan Wagner(Memphis),,,,,,1,,,,,,,1
Daniel Horton(Michigan),,,,,,1,,,,,,,1
David West(Xavier),1,,,,,,1,,,,1,,3
De'Andre Hunter(Virginia),,1,,,,,,,,,,,1
Dee Brown(Illinois),,,,,,,,1,,,,,1
Denzel Valentine(Michigan State),1,,1,,,,,,,,,,2
Donald Williams(North Carolina),,,,,1,,,,,,,,1
Donte DiVincenzo(Villanova),,,,,1,,,,,,,,1
Doremus Bennerman(Siena),,,,,,1,,,,,,,1
Doug McDermott(Creighton),1,,1,1,,,1,1,,,1,1,7
Draymond Green(Michigan State),,,1,,,,,,,,,,1
Drew Gooden(Kansas),,,1,,,,,,,,,,1
Dylan Osetkowski(Texas),,,,,,1,,,,,,,1
Ed O'Bannon(UCLA),,,,,1,,,,,,1,1,3
Eddie Griffin(Seton Hall),,,,,,,,,,1,,,1
Elton Brand(Duke),1,,1,1,,,1,1,,,1,1,7
Emeka Okafor(Connecticut),,2,1,,1,,,,,,,,4
Erick Strickland(Nebraska),,,,,,1,,,,,,,1
Evan Turner(Ohio State),1,,1,1,,,,1,,,1,1,6
Frank Kaminsky(Wisconsin),1,,1,1,,,1,1,,,1,1,7
Frank Mason(Kansas),1,,1,1,,,,1,,,1,1,6
Frank Young(West Virginia),,,,,,1,,,,,,,1
Glenn Robinson(Purdue),1,,1,1,,,1,1,1,,1,1,8
Graham Hatch(Wichita State),,,,,,1,,,,,,,1
Grant Hill(Duke),,1,,,,,,,,,,,1
Greg Oden(Ohio State),,1,,,,,,,,,,,1
Hasheem Thabeet(Connecticut),,2,,,,,,,,,,,2
J.J. Redick(Duke),1,,1,1,,,2,1,,,1,1,8
Jabari Parker(Duke),,,,,,,,,,1,,,1
Jahlil Okafor(Duke),,,,,,,,,,1,,,1
Jalen Brunson(Villanova),1,,1,1,,,,1,,,1,1,6
Jameer Nelson(Saint Joseph's),1,,1,1,,,1,1,,,1,1,7
Jamelle Cornley(Penn State),,,,,,1,,,,,,,1
Jared Sullinger(Ohio State),,,,,,,,,,1,,,1
Jarvis Varnado(Mississippi State),,1,,,,,,,,,,,1
Jason Gardner(Arizona),,,,,,,,,,1,,,1
Jason Kidd(University of California),,,,,,,,,,1,,,1
Jay Williams(Duke),1,,2,1,,,1,1,,,1,1,8
Jeff Sheppard(Kentucky),,,,,1,,,,,,,,1
Jeff Withey(Kansas),,1,,,,,,,,,,,1
Jevon Carter(West Virginia),,2,,,,,,,,,,,2
Jim Jackson(Ohio State),,,,,,,,,1,,,,1
Jim McIlvaine(Marquette),,1,,,,,,,,,,,1
Jimmer Fredette(Brigham Young),1,,1,1,,,1,1,,,1,1,7
