,Year,Player,School,Team Selection
0,2018-2019,R.J. Barrett,Duke,1st Team
1,2018-2019,Rui Hachimura,Gonzaga,1st Team
2,2018-2019,Ja Morant,Murray State,1st Team
3,2018-2019,Grant Williams,Tennessee,1st Team
4,2018-2019,Zion Williamson,Duke,1st Team
5,2018-2019,Jarrett Culver,Texas Tech,2nd Team
6,2018-2019,Carsen Edwards,Purdue,2nd Team
7,2018-2019,Ethan Happ,Wisconsin,2nd Team
8,2018-2019,Markus Howard,Marquette,2nd Team
9,2018-2019,Cassius Winston,Michigan State,2nd Team
10,2017-2018,Deandre Ayton,Arizona,1st Team
11,2017-2018,Marvin Bagley III,Duke,1st Team
12,2017-2018,Jalen Brunson,Villanova,1st Team
13,2017-2018,Devonte' Graham,Kansas,1st Team
14,2017-2018,Trae Young,Oklahoma,1st Team
15,2017-2018,Keita Bates-Diop,Ohio State,2nd Team
16,2017-2018,Trevon Bluiett,Xavier,2nd Team
17,2017-2018,Miles Bridges,Michigan State,2nd Team
18,2017-2018,Jevon Carter,West Virginia,2nd Team
19,2017-2018,Keenan Evans,Texas Tech,2nd Team
20,2017-2018,Jock Landale,Saint Mary's (CA),2nd Team
21,2016-17,Lonzo Ball,UCLA,1st Team
22,2016-17,Josh Hart,Villanova,1st Team
23,2016-17,Justin Jackson,North Carolina,1st Team
24,2016-17,Frank Mason,Kansas,1st Team
25,2016-17,Caleb Swanigan,Purdue,1st Team
26,2016-17,Dillon Brooks,Oregon,2nd Team
27,2016-17,Luke Kennard,Duke,2nd Team
28,2016-17,Malik Monk,Kentucky,2nd Team
29,2016-17,Johnathan Motley,Baylor,2nd Team
30,2016-17,Nigel Williams-Goss,Gonzaga,2nd Team
31,2015-16,Malcolm Brogdon (2),Virginia,1st Team
32,2015-16,Buddy Hield,Oklahoma,1st Team
33,2015-16,Brice Johnson,North Carolina,1st Team
34,2015-16,Ben Simmons,Louisiana State,1st Team
35,2015-16,Tyler Ulis,Kentucky,1st Team
36,2015-16,Denzel Valentine,Michigan State,1st Team
37,2015-16,Kris Dunn,Providence,2nd Team
38,2015-16,Perry Ellis,Kansas,2nd Team
39,2015-16,Georges Niang,Iowa State,2nd Team
40,2015-16,Jakob Poeltl,Utah,2nd Team
41,2015-16,Jarrod Uthoff,Iowa,2nd Team
42,2014-15,Willie Cauley-Stein,Kentucky,1st Team
43,2014-15,Jerian Grant,Notre Dame,1st Team
44,2014-15,Frank Kaminsky,Wisconsin,1st Team
45,2014-15,Jahlil Okafor,Duke,1st Team
46,2014-15,D'Angelo Russell,Ohio State,1st Team
47,2014-15,Malcolm Brogdon,Virginia,2nd Team
48,2014-15,Bobby Portis,Arkansas,2nd Team
49,2014-15,Karl-Anthony Towns,Kentucky,2nd Team
50,2014-15,Seth Tuttle,Northern Iowa,2nd Team
51,2014-15,Kyle Wiltjer,Gonzaga,2nd Team
52,2014-15,Delon Wright,Utah,2nd Team
53,2013-14,Nick Johnson,Arizona,1st Team
54,2013-14,Doug McDermott (3),Creighton,1st Team
55,2013-14,Shabazz Napier,Connecticut,1st Team
56,2013-14,Jabari Parker,Duke,1st Team
57,2013-14,Russ Smith,Louisville,1st Team
58,2013-14,Cleanthony Early,Wichita State,2nd Team
59,2013-14,C.J. Fair,Syracuse,2nd Team
60,2013-14,Sean Kilpatrick,Cincinnati,2nd Team
61,2013-14,Nik Stauskas,Michigan,2nd Team
62,2013-14,T.J. Warren,North Carolina State,2nd Team
63,2013-14,Andrew Wiggins,Kansas,2nd Team
64,2012-13,Trey Burke,Michigan,1st Team
65,2012-13,Doug McDermott (2),Creighton,1st Team
66,2012-13,Victor Oladipo,Indiana,1st Team
67,2012-13,Kelly Olynyk,Gonzaga,1st Team
68,2012-13,Otto Porter,Georgetown,1st Team
69,2012-13,Ben McLemore,Kansas,2nd Team
70,2012-13,Mason Plumlee,Duke,2nd Team
71,2012-13,Marcus Smart,Oklahoma State,2nd Team
72,2012-13,Jeff Withey,Kansas,2nd Team
73,2012-13,Cody Zeller,Indiana,2nd Team
74,2011-12,Anthony Davis,Kentucky,1st Team
75,2011-12,Draymond Green,Michigan State,1st Team
76,2011-12,Doug McDermott,Creighton,1st Team
77,2011-12,Thomas Robinson,Kansas,1st Team
78,2011-12,Jared Sullinger (2),Ohio State,1st Team
79,2011-12,Isaiah Canaan,Murray State,2nd Team
80,2011-12,Marcus Denmon,Missouri,2nd Team
81,2011-12,Kevin Jones,West Virginia,2nd Team
82,2011-12,Michael Kidd-Gilchrist,Kentucky,2nd Team
83,2011-12,Tyler Zeller,North Carolina,2nd Team
84,2010-11,JaJuan Johnson,Purdue,1st Team
85,2010-11,Jared Sullinger,Ohio State,1st Team
86,2010-11,Jimmer Fredette,Brigham Young,1st Team
87,2010-11,Kemba Walker,Connecticut,1st Team
88,2010-11,Nolan Smith,Duke,1st Team
89,2010-11,Ben Hansbrough,Notre Dame,2nd Team
90,2010-11,Derrick Williams,Arizona,2nd Team
91,2010-11,Jordan Hamilton,Texas,2nd Team
92,2010-11,Jordan Taylor,Wisconsin,2nd Team
93,2010-11,Kawhi Leonard,San Diego State,2nd Team
94,2010-11,Kenneth Faried,Morehead State,2nd Team
95,2010-11,Marcus Morris,Kansas,2nd Team
