,Player,Class,Season,Pos,School,Conf,G,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,eFG%,WS,AP Player of the Year,NABC Defensive Player of the Year,NABC Player of the Year,Naismith Award,NCAA Tournament Most Outstanding Player,NIT Most Valuable Player,Rupp Trophy,Sporting News Player of the Year,UPI Player of the Year,USBWA Freshman of the Year,Year,Rd,Pk,Tm,Projected Rd,Projected Pk,Team Score
5,Chris Mihm,SO,1999,C,Texas,Big 12,32,32.094,4.5,10.031,4.5,9.906,0.0,0.125,4.656000000000001,6.812,0.0,0.0,10.969000000000001,0.594,0.406,2.625,2.438,2.812,13.655999999999999,17.53,0.532,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,1.0,7.0,CHI,1.0,7.0,0.0
7,Dan McClintock,JR,1999,C,Northern Arizona,Big Sky,27,16.741,4.63,6.926,4.63,6.926,0.0,0.0,2.185,3.259,0.0,0.0,3.852,0.48100000000000004,0.29600000000000004,1.556,1.815,1.0,11.444,28.4,0.597,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,2.0,53.0,DEN,2.0,53.0,0.0
19,Mamadou N'Diaye,JR,1999,C,Auburn,SEC,33,23.788,2.667,5.455,2.667,5.4239999999999995,0.0,0.03,1.909,2.9389999999999996,0.0,0.0,7.485,0.879,1.0,2.333,0.0,0.0,7.242000000000001,20.62,0.535,7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,1.0,26.0,DEN,1.0,26.0,0.0
21,Desmond Mason,JR,1999,F,Oklahoma State,Big 12,34,34.705999999999996,5.765,12.0,4.971,9.676,0.794,2.324,3.1180000000000003,4.176,0.0,0.0,7.853,0.8240000000000001,1.5590000000000002,0.882,2.147,2.412,15.440999999999999,19.17,0.574,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,1.0,17.0,SEA,1.0,17.0,0.0
27,Dan Langhi,JR,1999,F,Vanderbilt,SEC,29,32.897,5.586,13.379000000000001,3.966,9.172,1.621,4.207,4.862,5.7589999999999995,0.0,0.0,7.276,1.2409999999999999,0.7929999999999999,0.24100000000000002,2.414,1.7930000000000001,17.655,21.8,0.54,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,2.0,31.0,DAL,2.0,31.0,0.0
28,Kenyon Martin,JR,1999,C,Cincinnati,CUSA,33,27.273000000000003,4.303,7.515,4.303,7.485,0.0,0.03,1.515,2.697,0.0,0.0,6.909,1.485,1.121,2.364,2.03,3.303,10.121,17.4,0.5710000000000001,9.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2000.0,1.0,1.0,NJN,1.0,1.0,0.0
30,Jamaal Magloire,JR,1999,C,Kentucky,SEC,34,19.647000000000002,2.765,5.206,2.765,5.206,0.0,0.0,1.4409999999999998,2.5,0.0,0.0,4.441,0.529,0.47100000000000003,1.9409999999999998,1.235,2.324,6.971,16.03,0.5,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,1.0,19.0,CHH,1.0,19.0,0.0
32,Mark Madsen,JR,1999,F,Stanford,Pac-10,33,29.364,4.636,7.667000000000001,4.636,7.636,0.0,0.03,3.8480000000000003,6.606,0.0,0.0,9.0,0.485,0.515,0.636,1.545,2.273,13.120999999999999,17.71,0.5870000000000001,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,1.0,29.0,LAL,1.0,29.0,0.0
38,Morris Peterson,JR,1999,F,Michigan State,Big Ten,38,23.868000000000002,5.0,9.026,4.421,7.474,0.579,1.5530000000000002,3.0,3.6839999999999997,0.0,0.0,5.684,0.9470000000000001,0.868,0.579,1.632,2.553,13.579,23.71,0.555,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,1.0,21.0,TOR,1.0,21.0,0.0
43,Etan Thomas,JR,1999,C,Syracuse,Big East,33,27.666999999999998,4.485,7.273,4.485,7.273,0.0,0.0,3.303,5.757999999999999,0.0,0.0,7.364,0.515,0.818,3.97,1.6969999999999998,2.7880000000000003,12.273,22.16,0.602,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,1.0,12.0,DAL,1.0,12.0,0.0
46,Stromile Swift,FR,1999,F,Louisiana State,SEC,16,19.938,2.812,6.875,2.75,6.375,0.062,0.5,1.875,3.125,0.0,0.0,4.312,0.312,0.938,2.188,2.875,2.688,7.562,13.71,0.618,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,1.0,2.0,VAN,1.0,2.0,0.0
51,Jake Voskuhl,JR,1999,C,Connecticut,Big East,34,21.412,1.9409999999999998,3.7939999999999996,1.9409999999999998,3.7939999999999996,0.0,0.0,1.588,2.559,0.0,0.0,6.412000000000001,1.1179999999999999,0.588,1.5,1.794,3.1180000000000003,5.471,10.15,0.5710000000000001,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,2.0,33.0,CHI,2.0,33.0,0.0
58,Quentin Richardson,FR,1999,F,DePaul,CUSA,31,33.548,6.547999999999999,13.71,5.129,9.613,1.419,4.0969999999999995,4.387,5.903,0.0,0.0,10.548,1.032,0.774,0.258,1.9680000000000002,2.226,18.903,23.13,0.51,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000.0,1.0,18.0,LAC,1.0,18.0,0.0
60,Michael Redd,SO,1999,G,Ohio State,Big Ten,36,32.861,7.25,15.556,5.972,11.806,1.278,3.75,3.75,6.111000000000001,0.0,0.0,5.638999999999999,2.3609999999999998,1.4169999999999998,0.055999999999999994,2.472,1.694,19.528,25.93,0.473,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,2.0,43.0,MIL,2.0,43.0,0.0
61,Joel Przybilla,FR,1999,C,Minnesota,Big Ten,28,25.464000000000002,2.821,5.0360000000000005,2.821,5.0360000000000005,0.0,0.0,1.071,1.857,0.0,0.0,5.821000000000001,1.464,0.5710000000000001,3.0,2.286,3.179,6.7139999999999995,12.21,0.613,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,1.0,9.0,HOU,1.0,9.0,0.0
